Field,Type,Collation,Null,Key,Comment
ID AAR,int(11),,NO,PRI,WALIS AAR ID
Public,varchar(45),utf8_general_ci,YES,,Is this datapoint public?
AARRef,mediumtext,utf8_general_ci,YES,,Reference(s)
IGSN,varchar(45),utf8_general_ci,YES,,IGSN
SampleID,varchar(100),utf8_general_ci,YES,,Sample ID
AnalysisID,varchar(100),utf8_general_ci,YES,,Analysis ID
ReportedID,varchar(100),utf8_general_ci,YES,,Reported ID
Analysis_Date,datetime,,YES,,Date of analysis
Laboratory name,mediumtext,utf8_general_ci,YES,,Laboratory name
SampleType,longtext,utf8_general_ci,YES,,Sample Type
Taxonomy,longtext,utf8_general_ci,YES,,Taxonomy
SamplePos,longtext,utf8_general_ci,YES,,Sample position
WRock,int(11),,YES,,Whole-Rock?
WRsize,varchar(45),utf8_general_ci,YES,,Grain Size (μm)
WRcarb,varchar(45),utf8_general_ci,YES,,Carbonate (%)
WRfract,varchar(45),utf8_general_ci,YES,,Fraction (μm)
SampleQualNotes,longtext,utf8_general_ci,YES,,Notes and comments on sample quality
CollectionContext,longtext,utf8_general_ci,YES,,Collection Context
DoB,varchar(45),utf8_general_ci,YES,,Depth of burial (m)
Accepted,varchar(45),utf8_general_ci,YES,,Accepted?
ReasRej,longtext,utf8_general_ci,YES,,Reason for rejection
Reported_Latitude,varchar(45),utf8_general_ci,YES,,Reported Latitude
Reported_Longitude,varchar(45),utf8_general_ci,YES,,Reported Longitude
SampleLat,varchar(45),utf8_general_ci,YES,,Latitude (decimal degrees)
SampleLon,varchar(45),utf8_general_ci,YES,,Longitude (decimal degrees)
Lat_Lon_Est,varchar(45),utf8_general_ci,YES,,Are Lat/Long estimated?
Original_datum,varchar(45),utf8_general_ci,YES,,Original elevation datum used
Elev_meas_method,varchar(45),utf8_general_ci,YES,,Elevation measurement method
Reported_Elev,varchar(45),utf8_general_ci,YES,,Reported elevation (m)
Reported_Elev_Unc,varchar(45),utf8_general_ci,YES,,Reported elevation uncertainty (m)
Elev_MSL,varchar(45),utf8_general_ci,YES,,Elevation above MSL (m)
Elev_MSL_unc,varchar(45),utf8_general_ci,YES,,Elevation uncertainty used (m)
Elev_comments,longtext,utf8_general_ci,YES,,Elevation comments
MISchoice_limit,varchar(45),utf8_general_ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8_general_ci,YES,,Marine Isotopic Stage
MIS,longtext,utf8_general_ci,YES,,Comments/details on MIS designation
ReportedAge,varchar(45),utf8_general_ci,YES,,Reported age (ka)
ReportedAgeUnc,varchar(45),utf8_general_ci,YES,,Reported age uncertainty (±2σ) (ka)
CMAT,varchar(45),utf8_general_ci,YES,,Current Annual Mean Temperature (°C)
PrepProc,longtext,utf8_general_ci,YES,,Preparation procedure
ChromMethod,longtext,utf8_general_ci,YES,,Method of chromatography
StatPhaseCol,longtext,utf8_general_ci,YES,,Stationary phase of the column
ReplNsamples,varchar(45),utf8_general_ci,YES,,Number of replicates (samples)
ReplNinj,varchar(45),utf8_general_ci,YES,,Number of sample replicates (injections)
RatioType,mediumtext,utf8_general_ci,YES,,Ratio type
PyrolysisAvail,mediumtext,utf8_general_ci,YES,,Pyrolysis experiment available
LevUnc,varchar(45),utf8_general_ci,YES,,Level of uncertainty
Aspartic,varchar(45),utf8_general_ci,YES,,Aspartic
Aspartic_unc,varchar(45),utf8_general_ci,YES,,Aspartic uncertainty
Glutamic,varchar(45),utf8_general_ci,YES,,Glutamic
Glutamic_unc,varchar(45),utf8_general_ci,YES,,Glutamic uncertainty
Serine,varchar(45),utf8_general_ci,YES,,Serine
Serine_unc,varchar(45),utf8_general_ci,YES,,Serine uncertainty
Alanine,varchar(45),utf8_general_ci,YES,,Alanine
Alanine_unc,varchar(45),utf8_general_ci,YES,,Alanine uncertainty
Valine,varchar(45),utf8_general_ci,YES,,Valine
Valine_unc,varchar(45),utf8_general_ci,YES,,Valine uncertainty
A_I,varchar(45),utf8_general_ci,YES,,*A/I
AI_unc,varchar(45),utf8_general_ci,YES,,*A/I uncertainty
Leucine,varchar(45),utf8_general_ci,YES,,Leucine
Leucine_unc,varchar(45),utf8_general_ci,YES,,Leucine uncertainty
Notes,longtext,utf8_general_ci,YES,,Notes/Comments
ShowIndep,varchar(45),utf8_general_ci,YES,,Independent age constraints available?
Showblock,varchar(45),utf8_general_ci,YES,,Calibration data available?
freeAAR,varchar(45),utf8_general_ci,YES,,Are free AAR ratios available?
LevUnc_FAA,varchar(45),utf8_general_ci,YES,,Level of uncertainty free AAR
Aspartic_FAA,varchar(45),utf8_general_ci,YES,,Aspartic (free AAR)
Aspartic_unc_FAA,varchar(45),utf8_general_ci,YES,,Aspartic uncertainty (free AAR)
Glutamic_FAA,varchar(45),utf8_general_ci,YES,,Glutamic (free AAR)
Glutamic_unc_FAA,varchar(45),utf8_general_ci,YES,,Glutamic uncertainty (free AAR)
Serine_FAA,varchar(45),utf8_general_ci,YES,,Serine (free AAR)
Serine_unc_FAA,varchar(45),utf8_general_ci,YES,,Serine uncertainty (free AAR)
Alanine_FAA,varchar(45),utf8_general_ci,YES,,Alanine (free AAR)
Alanine_unc_FAA,varchar(45),utf8_general_ci,YES,,Alanine uncertainty (free AAR)
Valine_FAA,varchar(45),utf8_general_ci,YES,,Valine (free AAR)
Valine_unc_FAA,varchar(45),utf8_general_ci,YES,,Valine uncertainty (free AAR)
A_I_FAA,varchar(45),utf8_general_ci,YES,,*A/I (free AAR)
AI_unc_FAA,varchar(45),utf8_general_ci,YES,,*A/I uncertainty (free AAR)
Leucine_FAA,varchar(45),utf8_general_ci,YES,,Leucine (free AAR)
Leucine_unc_FAA,varchar(45),utf8_general_ci,YES,,Leucine uncertainty (free AAR)
Notes_FAA,longtext,utf8_general_ci,YES,,Notes/Comments free AAR
CalibMethod,longtext,utf8_general_ci,YES,,Calibration method
AARequation,mediumtext,utf8_general_ci,YES,,Amino Acid age equation
CalibLab,mediumtext,utf8_general_ci,YES,,Calibration laboratory
CalibLabID,mediumtext,utf8_general_ci,YES,,Calibration laboratory ID
CalibRef,mediumtext,utf8_general_ci,YES,,Calibration reference
CalibDLvalue,varchar(45),utf8_general_ci,YES,,Calibration D/L value
CalibDLvalue_unc,varchar(45),utf8_general_ci,YES,,Calibration D/L value uncertainty (±1σ)
Calib_Age,varchar(45),utf8_general_ci,YES,,Calibration age (ka)
Calib_Age_unc,varchar(45),utf8_general_ci,YES,,Calibration age (ka) uncertainty (±1σ)
Indep_age_choice,varchar(45),utf8_general_ci,YES,,Independent age choice
IndepAgeMethod,longtext,utf8_general_ci,YES,,Independent age method
IndepAgeLab,mediumtext,utf8_general_ci,YES,,Independent age laboratory
IndepAgeLabID,mediumtext,utf8_general_ci,YES,,Independent age laboratory ID
IndepAgeResult,longtext,utf8_general_ci,YES,,Independent age result
IndepAgeRef,mediumtext,utf8_general_ci,YES,,Independent age reference
