Field,Type,Collation,Null,Key,Comment
idOther_dating,int(11),,NO,PRI,WALIS Other chronology ID
Public,varchar(45),utf8_general_ci,YES,,Is this datapoint public?
Short name,varchar(45),utf8_general_ci,YES,,Short name
Dating_technique,mediumtext,utf8_general_ci,YES,,Dating technique
Description,longtext,utf8_general_ci,YES,,Description
Upper age,"decimal(10,2)",,YES,,Upper age (ka)
Lower age,"decimal(10,2)",,YES,,Lower age (ka)
MISchoice_limit,varchar(45),utf8_general_ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8_general_ci,YES,,Marine Isotopic Stage
MIS,longtext,utf8_general_ci,YES,,Comments/details on MIS designation
Ref,varchar(45),utf8_general_ci,YES,,Reference(s)
Createdby,varchar(45),utf8_general_ci,YES,,Record created by
Updatedby,varchar(45),utf8_general_ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
