Field,Type,Collation,Null,Key,Comment
ESR_ID,int(11),,NO,PRI,WALIS ESR ID
Public,varchar(45),utf8_general_ci,YES,,Is this datapoint public?
ESR_Method,tinytext,utf8_general_ci,YES,,Method
IGSN,varchar(45),utf8_general_ci,YES,,IGSN
Refs,longtext,utf8_general_ci,YES,,Reference(s)
Sample_ID,varchar(45),utf8_general_ci,YES,,Sample ID
AnalysisID,varchar(45),utf8_general_ci,YES,,Analysis ID
ReportedID,varchar(45),utf8_general_ci,YES,,Reported ID
Lab_name,mediumtext,utf8_general_ci,YES,,Laboratory name
AnalysisDate,datetime,,YES,,Date of analysis
Accepted,varchar(45),utf8_general_ci,YES,,Accepted?
Reas_rej,longtext,utf8_general_ci,YES,,Reason for rejection
Reported_Latitude,varchar(45),utf8_general_ci,YES,,Reported Latitude
Reported_Longitude,varchar(45),utf8_general_ci,YES,,Reported Longitude
SampleLat,varchar(45),utf8_general_ci,YES,,Latitude (decimal degrees)
SampleLon,varchar(45),utf8_general_ci,YES,,Longitude (decimal degrees)
Lat_Lon_Est,varchar(45),utf8_general_ci,YES,,Are Lat/Long estimated?
Original_datum,varchar(45),utf8_general_ci,YES,,Original elevation datum used
Elev_meas_method,varchar(45),utf8_general_ci,YES,,Elevation measurement method
Reported_Elev,varchar(45),utf8_general_ci,YES,,Reported elevation (m)
Reported_Elev_Unc,varchar(45),utf8_general_ci,YES,,Reported elevation uncertainty (m)
Elev_MSL,varchar(45),utf8_general_ci,YES,,Elevation above MSL (m)
Elev_MSL_unc,varchar(45),utf8_general_ci,YES,,Elevation uncertainty used (m)
Elev_comments,longtext,utf8_general_ci,YES,,Elevation comments
MISchoice_limit,varchar(45),utf8_general_ci,YES,,Age is Older/Younger/Equal to
MISchoice,varchar(45),utf8_general_ci,YES,,Marine Isotopic Stage
Reported_MIS,longtext,utf8_general_ci,YES,,Comments/details on MIS designation or age
Final_age,varchar(45),utf8_general_ci,YES,,Age (ka)
Final_age_unc,varchar(45),utf8_general_ci,YES,,Age uncertainty (ka)
Mineral_type,varchar(45),utf8_general_ci,YES,,Mineral type
Grain_size,varchar(45),utf8_general_ci,YES,,Grain size (µm)
Aliquot size,varchar(45),utf8_general_ci,YES,,Aliquot size (mg)
Meas_protocol,longtext,utf8_general_ci,YES,,Measurement protocol
ESR_spectr_type,mediumtext,utf8_general_ci,YES,,ESR spectrometre type
Meas_temp,longtext,utf8_general_ci,YES,,Measurement temperature (K)
AAcquisition_parameters,mediumtext,utf8_general_ci,YES,,Acquisition parameters
