Field,Type,Collation,Null,Key,Comment
LUM_ID,int(11),,NO,PRI,WALIS LUM ID
Public,varchar(45),utf8_general_ci,YES,,Is this datapoint public?
Lum_Method,tinytext,utf8_general_ci,YES,,Luminescence method
IGSN,varchar(45),utf8_general_ci,YES,,IGSN
lum_ref,longtext,utf8_general_ci,YES,,Reference (s)
Sample_ID,varchar(45),utf8_general_ci,YES,,Sample ID
AnalysisID,varchar(45),utf8_general_ci,YES,,Analysis ID
ReportedID,varchar(45),utf8_general_ci,YES,,Reported ID
Lab_name,mediumtext,utf8_general_ci,YES,,Laboratory name
Mineral_type,varchar(45),utf8_general_ci,YES,,Mineral type
Grain_size,varchar(45),utf8_general_ci,YES,,Grain size
AnalysisDate,datetime,,YES,,Date of analysis
Accepted,varchar(45),utf8_general_ci,YES,,Accepted?
Reas_rej,longtext,utf8_general_ci,YES,,Reason for rejection
Reported_Latitude,varchar(45),utf8_general_ci,YES,,Reported Latitude
Reported_Longitude,varchar(45),utf8_general_ci,YES,,Reported Longitude
Sample_lat,varchar(45),utf8_general_ci,YES,,Sample latitude (decimal degrees)
Sample_lon,varchar(45),utf8_general_ci,YES,,Sample longitude (decimal degrees)
Lat_Lon_Est,varchar(45),utf8_general_ci,YES,,Are Lat/Long estimated?
Original_datum,varchar(45),utf8_general_ci,YES,,Original elevation datum used
Elev_meas_method,varchar(45),utf8_general_ci,YES,,Elevation measurement method
Sample_elev,varchar(45),utf8_general_ci,YES,,Reported elevation (m)
Sample_elev_unc,varchar(45),utf8_general_ci,YES,,Reported elevation uncertainty (m)
Elev_MSL,varchar(45),utf8_general_ci,YES,,Elevation above MSL (m)
Elev_MSL_unc,varchar(45),utf8_general_ci,YES,,Elevation uncertainty used (m)
Elev_comments,longtext,utf8_general_ci,YES,,Comments on elevation
MISchoice_limit,varchar(45),utf8_general_ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8_general_ci,YES,,Marine Isotopic Stage
Reported_MIS,longtext,utf8_general_ci,YES,,Comments/details on MIS designation or age
Final_age,varchar(45),utf8_general_ci,YES,,Age (ka)
