Field,Type,Collation,Null,Key,Comment
idrsl_ind,int(11),,NO,PRI,WALIS RSLind ID
Ind_name,mediumtext,utf8_general_ci,YES,,Name of RSL indicator
Ind_descr,longtext,utf8_general_ci,YES,,Description of RSL indicator
RWL_descr,longtext,utf8_general_ci,YES,,Description of RWL
IR_descr,longtext,utf8_general_ci,YES,,Description of IR
Ref_indicator,mediumtext,utf8_general_ci,YES,,Indicator reference(s)
Createdby,varchar(45),utf8_general_ci,YES,,Record created by
Updatedby,varchar(45),utf8_general_ci,YES,,Record updated by
LastUpdate,date,,YES,,Last Update
General_type,text,utf8_general_ci,YES,,General type
