WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
2,1,Rotoehu Tephra,"238 U / 230 Th disequilibrium dating
(U-Th) / He zircon dating
40 Ar / 39 Ar K-feldspar and biotite crystals","Used widely in the North Island of New Zealand to constrain the age of marine terraces. The tephra has been subject to various direct and indirect chronological techniques, including isotopic, radiometric, radiation exposure, and stratigraphic approaches. Results of dating methods applied since 2012 are summarized here. Publications before this date may have associated a different age to the tephra.",50.0,45.0,Equal to,MIS 3,MIS 3,"Danišík et al 2012
 Flude and Storey 2016
 Ryan et al., 2020",Deirdre Ryan,Deirdre Ryan,2020-01-15 06:50:15
3,1,MIS 5 Terrace Correlation,"Correlation based upon physical characteristics including, but not limited to: sediments, pollen, altitude above modern sea level, and position within a terrace sequence. With regards to the latter, terrace age can be further refined to substages within MIS 5; i.e. MIS 5e, 5c, 5a.",Age determination by correlating terrace to either near-by or distant terraces (not necessarily the same country or continent) or the marine oxygen isotope stage.,,,Equal to,MIS 5,MIS 5,"Ryan et al., 2020",Deirdre Ryan,Deirdre Ryan,2020-01-15 11:06:24
4,1,Infinite Radiocarbon,Radiocarbon,"Radiocarbon analysis of a sample retrieved from the unit of interest returned an age at the limit of radiocarbon capability, providing a minimum age. ",,,Older than,MIS 3,,"Ryan et al., 2020",Deirdre Ryan,Deirdre Ryan,2020-09-28 13:38:03
5,1,Puerto Lobos Cordon 4,conventional radiocarbon (AC-0114),"Shells from within beach gravel. Originally intepreted as being late Pleistocene based on finite age, but based on elevation above Holocene beach deposits and morphology, it is probably MIS 5.",0.0,20.3,Older than,MIS 3,>MIS 3,"Albero and Angiolini, 1983
 Bayarsky and Codignotto 1982
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 01:08:43
6,1,Puerto Lobos Cordon 3,conventional radiocarbon (AC-0145),"Shells from within beach gravel. Originally intepreted as being late Pleistocene based on finite age, but based on elevation above Holocene beach deposits and morphology, it is probably MIS 5.",0.0,30.4,Older than,MIS 3,>MIS 3,"Albero and Angiolini, 1983
 Bayarsky and Codignotto 1982
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 01:09:13
7,1,La Sara - Violeta,conventional radiocarbon (AC-25),Marine shells from a sandy gravel deposit. Sample gave a minimum age of 43000 yr BP.,0.0,43.0,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:37:23
8,1,La Sara - MP4,conventional radiocarbon (AC-470),Marine shells from a sandy gravel deposit. Sample taken 0.8 m below the top of the unit. Gave a finite age of 32600,0.0,32.6,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2019-12-23 09:36:38
9,1,La Sara - MP5,conventional radiocarbon (AC-471),Marine shells from a sandy gravel deposit. Sample taken 5 m below the top of the unit. Gave a minimum age of 43000 yr BP,0.0,43.0,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:37:50
10,1,La Sara - MP6,conventional radiocarbon (AC-472),Marine shells from a sandy gravel deposit. Sample taken 0.8 m below the top of the unit. Gave a minimum age of 31900,0.0,31.9,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:38:13
11,1,Bahia Langara - Supe,conventional radiocarbon (AC-485),Marine shells in living position from a gravel deposit. . Gave a minimum age of 31000+-1200 yr BP,0.0,31.0,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:38:40
12,1,Bahia Langara - I1,conventional radiocarbon (AC-454),Marine shells in living position from a gravel deposit. Gave a minimum age of 32100+-1000 yr BP,0.0,32.1,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:39:08
13,1,Camarones - North C2,conventional radiocarbon (AC-164),Marine shells in living position from a beach Gave a minimum age of 38900+-2800 yr BP,0.0,38.9,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:39:32
14,1,Camarones - North C3,conventional radiocarbon (AC-165),Marine shells in living position from a beach Gave a minimum age of 32900+-1300 yr BP,0.0,32.9,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:40:36
15,1,Camarones - South CFIN,conventional radiocarbon (AC-168),Marine shells in living position from a beach Gave a minimum age of 32200+-1200 yr BP,0.0,32.2,Older than,MIS 3,>MIS 3,"Codignotto, 1983
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:40:55
