WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Were U-Series data recalculated?,Type of spectrometry,Are RSL estimates available for this record?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Accepted in other study?,Reason for rejection in other studies,Other study ID,Screening,Location,Site,Additional site information,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,Other screening techniques applied,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),[230Th/238U]ACT,[230Th/238U]ACT uncertainty (±2σ),[234U/238U]ACT,[234U/238U]ACT uncertainty (±2σ),Reported age (ka),"Reported ageuncertainty (ka, ±2σ)",Reported delta 234U initial (‰),Reported delta 234U (‰) uncertainty (±2σ),Comments on age determination,Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Recalculated Conventional Age (ka),Recalculated Conventional Age uncert. (±2σ),Recalculated delta 234Ui (‰),Recalculated delta 234Ui uncertainty (±2σ),Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2σ),Recalculated delta 234Ui uncert. (±2σ) w/ decay constant uncertainties,Comments (age and delta234i),Record created by,Record updated by,Last Update
3230,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-020,MU11-020-001,FL-1,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.547207,-81.794998,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",54,54,no,yes,no,no,8.7,,3.03,0.14,,,866,,0.000946305,,,,0.8195,0.0047,1.1337,0.0031,134.6,1.7,195.6,4.1,,,,,,,,,,,,,,,,,,,,Alexandra Villa,Peter Chutcharavan,2021-07-10 18:21:00
3242,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-020,MU11-020-002,FL-1,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.547207,-81.794998,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",4,4,no,yes,no,no,10.2,,3.64,0.12,,,958,,0.000921294,,,,0.8826,0.0021,1.1623,0.0023,147.2,1,246,3.1,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:09:54
3231,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-021,MU11-021-001,FL-2,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.547207,-81.794998,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",60,60,no,yes,no,no,7.4,,2.67,0.11,,,1045,,0.000910335,,,,0.9513,0.0036,1.185,0.0019,164.4,1.5,294.5,2.7,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 18:19:35
3243,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-021,MU11-021-002,FL-2,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.547207,-81.794998,,,Yes,, ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",37,37,no,yes,no,no,7.8,,2.99,0.16,,,1183,,0.000856298,,,,1.013,0.0035,1.2045,0.0021,181.8,1.7,341.8,3,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:14:45
3232,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-022,MU11-022-001,FL-3,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.614110,-81.651091,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",70,70,no,yes,no,no,11.5,,2.56,0.13,,,559,,0.001482648,,,,0.8288,0.0029,1.1463,0.0023,134.3,1.1,213.9,3.1,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 18:35:44
3244,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-022,MU11-022-002,FL-3,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.614110,-81.651091,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",56,56,no,yes,no,no,10.5,,2.48,0.11,,,652,,0.001395859,,,,0.9101,0.0026,1.1584,0.0014,158.2,1.1,247.7,2,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:20:33
3233,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-023,MU11-023-001,FL-4,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.672233,-81.442607,24.67223298,-81.44260656,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",30,30,no,yes,no,no,15,,3.73,0.12,,,567,,0.00132381,,,,0.7506,0.0049,1.1319,0.002,115.2,1.4,182.6,2.7,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 18:44:33
3245,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-023,MU11-023-002,FL-4,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.672233,-81.442607,24.67223298,-81.44260656,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",20,20,no,yes,no,no,13,,3.82,0.11,,,689,,0.001123948,,,,0.7744,0.0029,1.1335,0.0018,121.3,0.9,188.2,2.4,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:25:17
3246,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-023,MU11-023-003,"FL-4, dup",2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.672233,-81.442607,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",20,20,no,yes,no,no,12.9,,3.76,0.12,,,681,,0.001133627,,,,0.772,0.0017,1.1333,0.0017,120.7,0.6,187.5,2.2,after heavy liquid separation,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-12 17:36:22
3234,1,Oolite,"ooilitic limestone, shoals/bars",No,Mass spectrometer,,"Muhs et al., 2011",,MU11-024,MU11-024-001,FL-5,2011-01-01 00:00:00,No,"All ooid samples showed ""open-system conditions"" (i.e., elevated delta 234U initial values), so the authors instead used open-system modelling for stratigraphic corellation. The main diagenetic array aligns with the 120 ka isochron, indicating that the Miami limestone is Last Interglacial in age and correlates with the Key Largo Limestone.",N/A,,n/a,,,,,24.699044,-81.371795,,,Yes,"Estimated using Figure 2 of Muhs et al., 2011 (Quaternary Science Reviews)", ,Not reported,N/A,N/A,,,,No,No,TIMS,D2,,SE,SE,,"XRD, thin section analysis",80,80,no,yes,no,no,12.9,,2.35,0.13,,,473,,0.001807822,,,,0.8551,0.0045,1.1348,0.0019,146,1.7,203.7,2.7,,,,,,,,,,,,,,,,,,,,Alexandra Villa,,2021-07-10 18:55:39
