WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Were U-Series data recalculated?,Type of spectrometry,Are RSL estimates available for this record?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Accepted in other study?,Reason for rejection in other studies,Other study ID,Screening,Location,Site,Additional site information,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Reported in situ?,Type of deposit,Distance from base of deposit (m),Sampled material,Additional sample context,paleo RSL (m),paleo RSL uncertainty (m),Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,How was speleothem mineralogy determined?,Speleothem mineralogy,Other screening techniques applied,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),[230Th/238U]ACT,[230Th/238U]ACT uncertainty (±2σ),[234U/238U]ACT,[234U/238U]ACT uncertainty (±2σ),Reported age (ka),"Reported ageuncertainty (ka, ±2σ)",Corrected reported age (ka),"Corrected reported age uncert. (ka, ±2σ)",Reported delta 234U initial (‰),Reported delta 234U (‰) uncertainty (±2σ),Initial 234U/238U,Initial 234U/238U uncertainty (±2σ),Measured 234U/238U,Measured 234U/238U uncertainty (±2σ),Measured delta234U,Measured delta234U uncertainty (±2σ),Comments on age determination,Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Recalculated Conventional Age (ka),Recalculated Conventional Age uncert. (±2σ),Recalculated delta 234Ui (‰),Recalculated delta 234Ui uncertainty (±2σ),Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2σ),Recalculated delta 234Ui uncert. (±2σ) w/ decay constant uncertainties,Comments (age and delta234i),Record created by,Record updated by,Last Update
3269,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-002,001,10023,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-8.5,0.5,-8.5,0.5,,in situ,stalagmite,0.3155,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.03069,0.00017,0.156083,0.000013,,3.5,1222,18,,,,,0.0782,0.0011,,,8.60,0.13,8.58,0.13,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 12:48:16
3298,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-007,001,9700,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-5.0,0.5,-5.0,0.5,,in situ,stalagmite,0.084,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.01035,0.00030,0.266916,0.000027,,3.5,60178,1790,,,,,0.7601,0.0051,,,166.5,3.2,166.5,3.2,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:06:48
3290,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-006,001,9711,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-10.8,0.5,-10.8,0.5,,in situ,stalagmite,0.094,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.05725,0.00038,1.410960,0.000079,,3.5,44904,346,,,,,0.5924,0.0023,,,90.88,0.57,90.88,0.57,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 13:53:41
3300,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-008,001,9742,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-10.0,0.5,-10.0,0.5,,in situ,stalagmite,0.0775,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.18015,0.00059,0.342794,0.000036,,3.5,2704,14,,,,,0.4642,0.0019,,,63.92,0.44,63.85,0.44,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:12:20
3312,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-014,001,9738,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-11.5,0.5,-11.5,0.5,,in situ,stalagmite,0.041,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.04437,0.00014,0.209889,0.000015,,3.5,9244,41,,,,,0.6368,0.0020,,,112.72,0.85,112.70,0.85,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:34:12
3302,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-009,001,9702,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-28.7,0.5,-28.7,0.5,,in situ,stalagmite,0.018,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,2.7345,0.0071,1.96010,0.00014,,3.5,1584.3,6.3,,,,,0.7200,0.0021,,,136.00,0.82,135.83,0.82,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:15:40
3303,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-010,001,9703,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-19.8,0.5,-19.8,0.5,,in situ,flowstone,0.017,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,6.516,0.012,0.334142,0.000021,,3.5,21.76,0.11,,,,,0.13807,0.00062,,,15.983,0.087,13.54,0.92,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:17:51
3285,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-005,001,10540,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-17.7,0.5,-17.7,0.5,,in situ,stalagmite,0.149,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.16403,0.00033,0.972675,0.000069,,3.5,1571.5,6.5,,,,,0.08625,0.00031,,,9.575,0.038,9.554,0.038,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 13:44:43
3305,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-011,001,9705,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-5.0,0.5,-5.0,0.5,,in situ,stalagmite,0.015,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.9507,0.0023,0.170415,0.000020,,3.5,313.8,1.7,,,,,0.5704,0.0027,,,108.5,1.4,107.7,1.4,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:22:01
3282,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-004,001,9747,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-17.0,0.5,-17.0,0.5,,in situ,stalagmite,0.102,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.023334,0.000091,0.559277,0.000029,,3.5,49552,241,,,,,0.6742,0.0019,,,141.56,0.95,141.55,0.94,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 13:38:39
3310,1,Speleothem,,No,Mass spectrometer,,"Steidle et al., 2021",,ST21-013,001,9740,,Yes,,N/A,,n/a,,,,,20.200000,-87.500000,,,,Sample site underground within a 15 km radius of cited location, ,Not reported,-13.5,0.5,-13.5,0.5,,in situ,stalagmite,0.0555,speleothem,,,,,,MC-ICP-MS,No Info,,SE,SE,,,,,,,,,,,0.24241,0.00087,0.409568,0.000033,,3.5,2393,12,,,,,0.4612,0.0017,,,68.37,0.41,68.30,0.41,,,,,,,,,Ages before 1950CE,,,,,,,,,,,,,,,,,,,Simon Steidle,,2021-09-02 14:31:18
