Field,Type,Collation,Null,Key,Comment
ID_Useries,int(11),,NO,PRI,WALIS U-Series ID
Public,int(11),,YES,,Is this datapoint public?
Material_type,varchar(45),utf8_general_ci,YES,,Material type
Material_details,mediumtext,utf8_general_ci,YES,,Details on dated material
Recalc,varchar(45),utf8_general_ci,YES,,Were U-Series data recalculated?
Spectr,varchar(45),utf8_general_ci,YES,,Type of spectrometry
RSL_Estimate_avaliable,varchar(45),utf8_general_ci,YES,,Are RSL estimates available for this record?
Tectonics,varchar(45),utf8_general_ci,YES,,Are data on tectonics available?
Source,mediumtext,utf8_general_ci,YES,,Reference(s)
IGSN,varchar(100),utf8_general_ci,YES,,IGSN
SampleID,varchar(100),utf8_general_ci,YES,,Sample ID
AnalysisID,varchar(100),utf8_general_ci,YES,,Analysis ID
ReportedID,varchar(100),utf8_general_ci,YES,,Reported ID
Analysis_Date,datetime,,YES,,Date of analysis
Accepted,varchar(45),utf8_general_ci,YES,,Accepted?
ReasonRej,longtext,utf8_general_ci,YES,,Reason for rejection
Accepted_other,varchar(45),utf8_general_ci,YES,,Accepted in other study?
Reas_rej_other,longtext,utf8_general_ci,YES,,Reason for rejection in other studies
Other ref,varchar(45),utf8_general_ci,YES,,Other study ID
Screening,longtext,utf8_general_ci,YES,,Screening
Location,mediumtext,utf8_general_ci,YES,,Location
Site,mediumtext,utf8_general_ci,YES,,Site
Additional_site_info,longtext,utf8_general_ci,YES,,Additional site information
SampleLat,varchar(45),utf8_general_ci,YES,,Latitude (decimal degrees)
SampleLon,varchar(45),utf8_general_ci,YES,,Longitude (decimal degrees)
Reported_Latitude,varchar(45),utf8_general_ci,YES,,Reported Latitude
Reported_Longitude,varchar(45),utf8_general_ci,YES,,Reported Longitude
Lat_Lon_est,mediumtext,utf8_general_ci,YES,,Are Lat/Long estimated?
Coord_comments,longtext,utf8_general_ci,YES,,Comments on geographic coordinates
Original_elevation_datum_used,mediumtext,utf8_general_ci,YES,,Original elevation datum used
How_elevation_derived,mediumtext,utf8_general_ci,YES,,Elevation measurement method
Elevation_reported,varchar(45),utf8_general_ci,YES,,Reported elevation (m)
Reported_elevation_uncertainty,varchar(45),utf8_general_ci,YES,,Reported elevation uncertainty (m)
Elevation_above_MSL,varchar(45),utf8_general_ci,YES,,Elevation above MSL (m)
Elevation_uncertainty_used,varchar(45),utf8_general_ci,YES,,Elevation uncertainty used (m)
Interpr_elev,mediumtext,utf8_general_ci,YES,,Interpreted elevation relative to mllw/mlws (m)
Elevation_comments,longtext,utf8_general_ci,YES,,Elevation comments
Tect_cat,mediumtext,utf8_general_ci,YES,,Tectonic category
Publ_uplift,varchar(45),utf8_general_ci,YES,,Published uplift rate (m/ky)
Publ_uplift_unc,varchar(45),utf8_general_ci,YES,,Published uncertainty in uplift rate (m/ky)
Interpr_uplift,varchar(45),utf8_general_ci,YES,,Interpreted uplift rate (m/ky)
Interpr_uplift_unc,varchar(45),utf8_general_ci,YES,,Interpreted uplift rate uncertainty (m/ky)
Comments_uplift,longtext,utf8_general_ci,YES,,"Comments (uplift), including sources of uplift rates"
