WALIS Strat ID,Is this datapoint public?,Chronostratigraphy ID,Reference(s),Description for chronostratigraphic constraint,Unit thickness (m),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Upper Age (ka),Lower Age (ka),Notes on age determination,Is this an official stratigraphic designation?,Has duration estimated in years?,Duration (yrs),Duration uncertainty (yrs),Is a subzone of a parent Chronostratigraphy entry?,Parent record (WALIS Strat ID),Record created by,Record updated by,Last Update
92,1,Aguni Island Lower Coral Limestone Terrace,"Koike and Machida, 2001
 Tam and Yokoyama, 2021",Carbon 14 Dated Lower Coral Limestone Terrace at Aguni Island,,Equal to,MIS 3,,0.0,0.0,34-0 ka,No,No,,,No,,Evan Tam,,2020-10-07 04:38:15
82,1,"Ahuza, Carmel coast - beach deposits","Galili et al, 2007
 Sivan and Galili, 2020","The beach conglomerate (consolidated beach deposit associated with the foreshore at time of deposition) is located ca. 140 m east of the coastline. Two layers were observed in the site: at the bottom and on the sides of the river channel which was artificially deepened. At least 1m thick beach deposit sandwiched between two layers (20-40 cm thick each) of aeolian derived bioclastic sandstone made of fine grained quartz  sand and small (0.5 mm) fractures of marine mollusks cemented with carbonate. The beach deposit composed of carbonate cemented fine quartz sand, partly broken, crushed and whole marine mollusk shells, flint and limestone pebbles. The dominant mollusk species belonged to the families Glycymerididae, Cardiidae and Donacidae. Withinan  intect  block, the marine indicative gastropod Lentigo latus was recovered",1,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics and indicative faunal assemblage, including Strombus bubonius (also named Lentigo latus). ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-04 07:56:52
50,1,Aldabra Limestone,"Braithwaite et al., 1973
 Thompson et al., 1972
 Boyden et al., 2021",The Aldabra Limestone represents the first reliable age within the Western Indian Ocean basin and is therefore used extensively throughout early (1960s - 1980s) geomorphological studies along the coast of eastern Africa.,,Equal to,MIS 5e,,136.0,118.0,U/Th alpha spectrometry,Yes,No,,,No,,Patrick Boyden,Patrick Boyden,2020-04-09 06:07:15
83,1,"Amiram, Carmel coast - beach deposits","Galili et al, 2007
 Sivan and Galili, 2020","Beach deposit, 30–40 cm thick, composed of fine quartz sand, partly broken and crushed carbonate cemented, marine mollusk shells. The dominant mollusk species belong to the families Glycymerididae and Cardiidae.The beach deposites were found in the Amiram channel close to its outlet up to elevation of +1 to+2m. The layer was found also at -1m off the channel outlet. The beach deposit is overlied by about 2 m. thick bioclastic sandstone containing small fragments of crushed shells. The two layers are MIS5.5 indicating stormy conditions at early stage turning to more calm conditions later. ",2.4,Equal to,MIS 5e,The affiliation to MIS5 is based on the sedimentary characteristics and indicative faunal assemblage ,,,,Yes,,,,,,Dorit Sivan and Ehud Galili,,2020-09-21 19:09:41
138,1,Bahamas MIS 5e (Hearty & Kaufman 2000),"Hearty and Kaufmann, 2000",Combination of stratigraphic correlation and whole role A/I ratios. ,,Equal to,MIS 5e,Combination of stratigraphic correlation and whole role A/I ratios. ,0.0,0.0,,No,,,,,,Alexandra Villa,,2021-07-23 19:16:13
44,1,Barrier III- Rio Grande do Sul ,"Martin et al., 1982
 Poupeau et al., 1988
 Suguio et al., 1985
 Tomazelli and Dillenburg, 2007
 Tomazelli et al., 2006
 Villwock, 1984
 Rubio-Sandoval et al., 2021","Barrier III is described by Tomazelli et al., (2006), as follows: ""Barrier III is the best preserved of the Pleistocene barrier systems. Its correlative sediments can be traced from north to south along the whole of the coastal plain [...]. The vertical facies succession of Barrier III testifies to its regressive stratigraphic nature [...]. The barrier is composed by sandy beach facies covered by eolian deposits. Beach facies consists of white, well sorted, quartzose fine sand, with very well developed stratification reflecting different process occurring in the various beach subenvironments. Eolian facies are composed of reddish, quartzose, and structureless fine sand with abundant root traces. Locally, the beach sands contain remarkable occurrences of the trace fossil , interpreted as sp. burrows. The level of highest concentration of burrows defines an ancient sea-level situated around 6-8 m above the present"".  Some chronologic constraints are available from Barrier III deposits from Tomazelli and Dillenburg, 2007, who report thermoluminescence ages of 85 ka (Poupeau et al., 1988) for the eaolian facies and 109+/-7.5 ka for the foreshore facies (Tomazelli et al., 2006). Based on these hints, Tomazelli et al., 2006 argue that ""Barrier III deposits, originated near the peak of the Last Intergalcial transgression, can be firmly correlated with similar sediments described in many other segments of the Brazilian coast"" such as those described by Suguio et al., (1985). These are distributed through the States of Bahia, Serguipe and Alagoas. In the state of Bahia, five U-Series ages on corals by Martin et al., 1982, that range from 116+/-6.9 ka to 142+/-9.7 ka seem to confirm this correlation.",,Equal to,MIS 5,Only a general attribution to MIS 5 is possible.,0.0,0.0,,No,No,,,No,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:56:18
136,1,Bas-IV,"Davies et al., 2014",A tholeiitic basaltic (BAS) tephra sourced from the Grimsvötn Volcano in Iceland. This tephra is correlated to the Eemian (~127 ka) on the basis of stratigraphic position in marine sediment cores.,,Equal to,MIS 5e,Age of the tephra is based on stratigraphic position in north Atlantic sediment cores.,127.0,127.0,Age is estimated.,No,No,,,No,,Evan Gowan,,2021-03-12 16:07:17
77,1,Bioclastic sandstone,"Sivan et al., 2016
 Sivan and Galili, 2020",poorly sorted bio-clastic sandstone with abundant shell fragments. This is subunit of the official Yasaf unit . The age was defined based on the stratigraphy: this is the upper unit of the Yasaf Mb. ,Max thickness;  5.35m. The unit is exposed from +1.1 m up to +6.45,Equal to,MIS 5e,"The sandstone unit is the upper, therefore the younger among the Yasaf subunits. It represents the last phase of MIS5.5.",,,"The whole Yasaf unit age is constrains by the OSL age of the top aeolianite Regba Mb. (dated to 215±15ka) and alteration ages of the 9 samples from 3 different Strombus fossils found in-situ in the Strombus unit, which underlying the domes mounds. The sandstone unit is the uupermost subunit in the whole sequence attributed to the MIS5.5 and therefore represents the end of MIS5.5 pahse.",Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-05 08:11:20
61,1,Biozone P6,"Mildenhall, 1995
 Ryan et al., 2020","Biozone P6 (1 of 9 biozones identified) is a unit consisting of marine shelly gravel; shelly sand with occasional sand, mud, and gravel horizons with marine shell deposited in a nearshore marine or estuarine environment. Palynology indicates a warm, moist, humid environment, likely warmer and wetter than present. 

P6 is bounded by sediments deposited in cooler periglacial (below) glacial (above) environments. 
",,Equal to,MIS 5,Broadly MIS 5 at 71-128 ka,128.0,71.0,"To determine age Mildenhall (1995) referred to stratigraphic work by Stevens (1973 - not found in the course of this review) and the review paper by Pillans (1991), which placed MIS 5 at 125 to 70 ka. 
Begg et al (2004) in their summary of their earlier work (Begg et al 2002 - not made available in this review) referred to radiocarbon ages of shell from marginal marine deposits below the surface to assist in constraining age of deposits in the Lower Hutt Valley. They refer to Biozone P6 as the Wilford Shellbed and correlate it to an oxygen isotope sea level curve (Martinson et al., 1987), with MIS 5 between 128 to 71 ka. This age, as the more recent, is used here. ",No,,,,,,Deirdre Ryan,Deirdre Ryan,2020-05-13 13:23:10
89,1,Bir Ibdawiya west,"Frechen et al, 2004
 Galili et al, 2007
 Neber et al, 2002
 Ronen et al., 2007
 Sivan and Galili, 2020","This beach deposit was exposed on the bottom of a quarry, some 120–150m east of the present shoreline at an elevation of 3–4m asl. It was about 40 cm thick before quarrying and is mainly composed of fine quartz sand, and partly broken and crushed marine mollusk shells. The dominant mollusks belong to the families Glycymerididae and Donacidae (Table 1). A thick layer of poorly cemented kurkar, which contains small (less than 0.5 mm) fragments of crushed shells, overlies it. Most of this layer has been removed by quarrying, but the remains have been preserved. This beach deposit is embedded on top of hard kurkar, which contained small (less than 1 mm) fragments of crushed shells. The overlaying and underlying kurkar layers were dated by RTL to 76 and 143–153 ka BP respectively, and the beachrock is attributed to MIS 5e high sea stand (Neber, 2002; Frechen et al., 2004)",,Equal to,MIS 5e,"The affiliation to MIS5 is based on the sedimentary characteristics, stratigraphy and field relation and the association with the two adjacent caves containing Middle-Paleolithic remains (Ronen et al. 2008), as well as the RTL dating of the Kurkar overlaying and underlain Kurkar (aeolianits) deposits (Neber, 2002; Frechen et al., 2004).  ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,,2020-10-04 08:17:17
