WALIS ESR ID,Is this datapoint public?,Method,IGSN,Reference(s),Sample ID,Analysis ID,Reported ID,Laboratory name,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Younger/Equal to,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Mineral type,Grain size (µm),Aliquot size (mg),Measurement protocol,ESR spectrometre type,Measurement temperature (K),Acquisition parameters,ESR signal,Number of scans,Number of repeated measurements,Number of rotations in the cavity,Evaluation of the ESR signal intensity,Correction of the ESR intensities,Bleaching coefficient (%),Fitting program and error calculation,Fitting function,Data weighting used for fitting,Equivalent dose estimate (Gy),Equivalent dose estimate undertainty (±1σ) (Gy),Depth (m),Technique,Dose rate uncertainty type,external U (ppm),external U error (ppm),external Th (ppm),external Th error (ppm),external K (%),external K error (%),external Rb (ppm),external Rb error (ppm),External dose rate (Gy/ka),External dose rate uncertainty (Gy/ka),internal U (ppm),internal U error (ppm),internal Th (ppm),internal Th error (ppm),internal K (%),internal K error (%),internal Rb (ppm),internal Rb error (ppm),Internal dose rate (Gy/ka),Internal dose rate uncertainty (Gy/ka),Alpha dose rate (Gy/ka),Alpha dose rate error (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate error (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate error (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate error (Gy/ka),Field water content (% of dry mass),Water content determination method,Water content used (%),Water content used error (%),Attenuation factors,Conversion factors,Alpha efficiency factor,Etching method,Etch depth (µm),Etch depth error (µm),Total dose rate (Gy/ka),Total dose rate uncertainty (Gy/ka),Comments and notes,Record created by,Record updated by,Last Update
144,1,Corals,,"Ikeya and Ohmura, 1983
 Tam and Yokoyama, 2021",IK06,30,30,,,Yes,,,,27.776400,128.952000,Yes,Not reported,Not reported,51,N/A,N/A,N/A,,Equal to,N/A,,125.00,10.00,,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Tam,,2020-11-24 07:00:55
130,1,Molluscs,,"Antonioli et al., 2006c
 Cerrone et al., 2021",AN06-001,AN06-001-001,K4343,"Geographisches Institut, Universitat zu Köln, in Germany.",,Yes,,,,37.853453,15.296823,Yes,Mean Sea Level / General definition,Not reported,105,N/A,N/A,N/A,,Equal to,MIS 5e,"using a constant Uranium-uptake model, the age value is 124.5 +/- 15.0 ka.",76.40,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patella coerulea,Ciro Cerrone,Ciro Cerrone,2021-01-14 19:53:47
131,1,Molluscs,,"Antonioli et al., 2006c
 Cerrone et al., 2021",AN06-002,AN06-002-001,k4244,"Geographisches Institut, Universitat zu Köln, in Germany.",,Yes,,,,37.853453,15.296823,Yes,Mean Sea Level / General definition,Not reported,105,N/A,N/A,N/A,,Equal to,MIS 5e,,103.30,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patella coerulea,Ciro Cerrone,Ciro Cerrone,2020-08-11 13:57:47
219,1,Molluscs,,"Arkhipov, 1989
 Astakhov and Nazarov, 2010b
 Katzenberger and Grün, 1985",AS10-001,AS10-001-001,n/a,University of Cologne,,Yes,,,,69.950000,83.566670,No,Mean Sea Level / General definition,Cross-section from publication,10,N/A,10,2,Elevation taken from a cross section in the paper. The uncertainty is 20% of the reported elevation,Equal to,MIS 5e,"MIS assignment is supported by MIS 5 aged OSL dates, non-finite radiocarbon dates and paleoenvironmental conditions.",121.90,,,,,,"Bruker 200 tt ESR spectrometer,",,,g = 2.0014,,,,logarithmic evaluation of the additive dose,Saturation was determined for each sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,,2021-08-06 03:04:47
169,1,Quartz,,"Bahain et al., 2012",BA12-001,BA12-001-001,PG-H,,,Yes,,,,48.597268,-2.551880,Yes,NGF,Not reported,8,1,N/A,N/A,,Equal to,MIS 5,,123.00,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Víctor Cartelle,,2021-02-07 23:28:41
183,1,Molluscs,,"Brückner and Radtke (1986)
 Cerrone et al., 2021",BR86-001,BR86-001-001,E-92,,,Yes,,,,36.713164,-4.338721,Yes,Not reported,Not reported,N/A,N/A,N/A,N/A,,Equal to,MIS 5e,Age uncertainty is given as 20% of age measurement.,117.00,23.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Rovere,,2021-05-25 13:11:55
184,1,Molluscs,,"Brückner and Radtke (1986)
 Cerrone et al., 2021",BR86-002,BR86-002-001,E-63a,,,Yes,,,,40.839438,0.746244,Yes,Not reported,Not reported,N/A,N/A,N/A,N/A,,Equal to,MIS 5e,Age uncertainty is given as 20% of age measurement.,105.00,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Rovere,,2021-05-25 13:26:18
185,1,Molluscs,,"Brückner and Radtke (1986)
 Cerrone et al., 2021",BR86-002,BR86-002-002,E-63b,,,Yes,,,,40.839438,0.746244,Yes,Not reported,Not reported,N/A,N/A,N/A,N/A,,Equal to,MIS 5e,Age uncertainty is given as 20% of age measurement.,137.00,27.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Rovere,,2021-05-25 13:27:02
195,1,Molluscs,,"Brückner, 1986",BR86-003,BR86-003-001,E-32-b,,,Yes,,,,38.200564,-0.511227,Yes,N/A,Cross-section from publication,0.7,N/A,N/A,N/A,Coordinates and elevation are approximate.,Equal to,N/A,,94.00,18.80,,,,,,,,,,,,,,,,,,85.00000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90000000,,D0 is expressed in mGy/a,Alessio Rovere,,2021-06-24 15:08:58
196,1,Molluscs,,"Brückner, 1986",BR86-004,BR86-004-001,E-75-a,,,Yes,,,,38.234985,-0.513647,Yes,N/A,Cross-section from publication,3,N/A,N/A,N/A,Coordinates and elevation are approximate.,Equal to,N/A,,125.00,37.50,,,,,,,,,,,,,,,,,,122.80000000,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98000000,,D0 is expressed in mGy/a,Alessio Rovere,Alessio Rovere,2021-06-24 15:20:08
