WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Type of spectrometry,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Screening,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Terrace ID,Facies description,Reported as in situ?,Reported as in growth position?,Taxa information (as reported),Family,Genus,Species,Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Age is Older/Equal/Younger than,Marine Isotopic Stage,Age determination,Record created by,Record updated by,Last Update
3325,1,Mollusk or algae,Alpha or Mass spectrometer Q: not known,Mass spectrometer,"Winn et al., 2000",,DA1-28-28,171,DA1-171,1997-01-01 00:00:00,N/A,,,54.699070,8.755309,,,No,"From Winn & Erlenkeuser 1998. Winn et al.,2000",NAP (Netherlands ordnance datum),Distance from top of drill core,N/A,N/A,-26.6,0.3,"From Winn & Erlenkeuser 1998. Winn et al.,2000",,Scenescens Sand,Yes,No,,,,,No,No,TIMS,No Info,,SE,SE,,,,no,no,yes,no,0.1008,0.0010,0.1149,0.0002,,,,,0.8774,0.0092,,,,,,,,,,,,,,Equal to,MIS 5e,"Saalian paraglacial setting.

Lusitanian mollusca

Pollen Association Zone succession

ESR crosscheck on material from shallower levels

Winn et al. (2000)",Kim Cohen,Kim Cohen,2021-10-26 20:56:10
554,1,Mollusk or algae,Corallinaceous algae,Alpha,"Abad et al., 2013
 Cerrone et al., 2021",,AB13-003,AB13-003-001,MABE1005,,Yes,,,35.910136,-5.414401,,,Yes,,Not reported,Metered tape or rod,8-10,0.2,N/A,N/A,,,Calcareous algae,,,The U-series dating has been performed on calcareous algae ( Lithophyllum sp and Melobesia sp),Lithophyllum sp. and Melobesia sp,,,,,TIMS,No Info,,SE,SE,,,,no,no,no,no,,,8.4,0.2,,,32.9,2.1,,,,,,,,,,,,,,,,Equal to,MIS 5a,,Ciro Cerrone,Ciro Cerrone,2021-01-06 18:22:02
511,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-001,AC10-001-001,KR 37,,Yes,,,-3.915560,39.783055,,,No,,Mean Sea Level / General definition,Not reported,15,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,,,,,26,6,1.246,0.032,,,151,0.38,,,0.68,0.022,,,,,,,,0.753,0.026,1.107,0.011,Equal to,MIS 5e,Closed Age = 121 ± 8 ka (originally ± 4 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2021-01-25 14:58:58
512,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-002,AC10-002-001,KR 25,,Yes,,,-4.456667,39.489167,,,No,,Mean Sea Level / General definition,Not reported,14,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,,,,,23,6,1.979,0.072,,,200,66,,,0.701,0.038,,,,,,,,0.768,0.042,1.096,0.026,Equal to,MIS 5e,"Closed System Age = 128 ± 14 ka (originally ±7 ka at 1-sigma)
",Patrick Boyden,Patrick Boyden,2021-01-25 14:58:53
513,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-003,AC10-003-001,KR 40,,Yes,,,-4.202222,39.619722,,,No,,Mean Sea Level / General definition,Not reported,11,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,,,,,4,0.0012,0.030,0.0016,,,20,,,,0.627,0.046,,,,,,,,0.812,0.046,1.295,0.08,Equal to,MIS 5e,closed age = 102 ± 8 ka (originally ±4 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2021-01-25 14:58:47
514,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-004,AC10-004-001,KR 54,,Yes,,,-4.104444,39.672777,,,No,,Mean Sea Level / General definition,Not reported,12,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,,,,,0.0434,0.0028,0.708,0.016,,,73,16,,,0.662,0.024,,,,,,,,0.743,0.028,1.123,0.024,Equal to,MIS 5e,Closed age = 115± 8 ka (originally ± 4 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2021-01-25 14:58:33
515,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-005,AC10-005-001,KR 14,,Yes,,,-3.690278,39.861111,,,No,,Mean Sea Level / General definition,Not reported,8,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,,,,,0.2,,0.890,0.052,,,300,,,,0.663,0.04,,,,,,,,0.805,0.052,1.214,0.056,Equal to,MIS 5e,closed age = 113 ± 12 ka (originally ±6 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2021-01-25 14:58:40
516,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-006,AC10-006-001,PL 97,,Yes,,,-3.300833,40.103611,,,No,,Mean Sea Level / General definition,Not reported,6,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,0.7,,0.0146,0.001,,,81,23,,,0.731,0.068,,,,,,,,1.222,0.126,1.672,0.16,Equal to,"MIS 5e, MIS 5d",closed age = 126 ± 20 ka (originally ±10 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:41:15
517,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-007,AC10-007-001,PL 94,,Yes,,,-3.356389,40.039444,,,No,,Mean Sea Level / General definition,Not reported,5,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,12,4,0.582,0.01,,,81,23,,,0.639,0.015,,,,,,,,0.694,0.034,1.087,0.026,Equal to,"MIS 5e, MIS 5d",closed age = 109 ± 8 ka (origianlly ±4 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:42:49
518,1,Mollusk or algae,,Alpha,"Accordi et al., 2010
 Boyden et al., 2021",,AC10-008,AC10-008-001,LM 19,,Yes,,,-2.238889,40.997778,,,No,,Mean Sea Level / General definition,Not reported,4,N/A,N/A,N/A,,,,Uncertain,Uncertain,,Cardiidae,Tridacna,Tridacna gigas,No,No,TIMS,No Info,,SE,SE,,The authors do not explicately state conc.,,yes,,,,23,4,1.216,0.032,,,120,26,,,0.716,0.030,,,,,,,,0.823,0.036,1.149,0.026,Equal to,"MIS 5e, MIS 5d",131 ± 10 ka (originally ± 5 ka at 1-sigma),Patrick Boyden,Patrick Boyden,2020-06-22 14:44:06
