WALIS AAR ID,Is this datapoint public?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Laboratory name,Sample Type,Taxonomy,Sample position,Whole-Rock?,Grain Size (μm),Carbonate (%),Fraction (μm),Notes and comments on sample quality,Collection Context,Depth of burial (m),Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reported age (ka),Reported age uncertainty (±2σ) (ka),Current Annual Mean Temperature (°C),Preparation procedure,Method of chromatography,Stationary phase of the column,Number of replicates (samples),Number of sample replicates (injections),Ratio type,Pyrolysis experiment available,Level of uncertainty,Aspartic,Aspartic uncertainty,Glutamic,Glutamic uncertainty,Serine,Serine uncertainty,Alanine,Alanine uncertainty,Valine,Valine uncertainty,*A/I,*A/I uncertainty,Leucine,Leucine uncertainty,Notes/Comments,Independent age constraints available?,Calibration data available?,Are free AAR ratios available?,Level of uncertainty free AAR,Aspartic (free AAR),Aspartic uncertainty (free AAR),Glutamic (free AAR),Glutamic uncertainty (free AAR),Serine (free AAR),Serine uncertainty (free AAR),Alanine (free AAR),Alanine uncertainty (free AAR),Valine (free AAR),Valine uncertainty (free AAR),*A/I (free AAR),*A/I uncertainty (free AAR),Leucine (free AAR),Leucine uncertainty (free AAR),Notes/Comments free AAR,Calibration method,Amino Acid age equation,Calibration laboratory,Calibration laboratory ID,Calibration reference,Calibration D/L value,Calibration D/L value uncertainty (±1σ),Calibration age (ka),Calibration age (ka) uncertainty (±1σ),Independent age choice,Independent age method,Independent age laboratory,Independent age laboratory ID,Independent age result,Independent age reference,U-Series age constraint,ESR age constraint,Luminescence age constraint,Stratigraphic age constraint,Record created by,Record updated by,Last Update
207,1,"El-Asmar 1994
 Mauz and Elmejdoub, 2021",,17,17,17,,,whole rock,,,Yes,,,,,,3,Yes,,,,30.500000,29.320000,Yes,, ,N/A,N/A,N/A,N/A,Sampling locations not reported.,Equal to,MIS 5e,,121.00,6.00,,,unknown,,,,,,1-sigma,,,,,,,,,,,0.480,0.020,,,level of uncertainty not reported,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbara Mauz,Barbara Mauz,2020-11-11 07:55:23
49,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-001,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.584,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:14:57
50,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-002,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.473,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:12:53
51,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-003,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.555,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:14:03
52,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-004,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.462,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:16:15
53,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-005,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.654,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:17:14
54,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-006,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.546,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:18:07
55,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Weiler et al., 1988
 Gowan et al., 2021",,AG95-001,AG95-001-007,ABER-1315,,Aberystwyth,mollusc shell,Tagelus sp.,,No,,,,only well perserved shells were selected,"Described by Weiler et al, 1988 as estuary deposits.",1.5,Yes,,,,-35.062390,-57.585940,Yes,Mean Sea Level / General definition,Not reported,6,1,6,1,"Derived from Weiler et al, 1988",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",106.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.617,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 03:18:56
56,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Gowan et al., 2021",,AG95-002,AG95-002-001,ABER-1293,,Aberystwyth,mollusc shell,Mactra sp.,,No,,,,only well perserved shells were selected,Shells taken from a highly cemented coquina,unknown,Yes,,,,-35.927000,-57.720000,Yes,Mean Sea Level / General definition,Not reported,3.5,0.5,3.5,0.9,"Elevation uncertainty includes 20% of the reported elevation, since elevation measurement technique is not stated. Another elevation reported in the paper from a previous paper is 2-3 m, but we chose the more recent value.",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",123.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.480,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 23:58:07
57,1,"Aguirre and Whatley, 1995
 Aguirre et al., 1995
 Gowan et al., 2021",,AG95-002,AG95-002-002,ABER-1293,,Aberystwyth,mollusc shell,Mactra sp.,,No,,,,only well perserved shells were selected,Shells taken from a highly cemented coquina,unknown,Yes,,,,-35.927000,-57.720000,Yes,Mean Sea Level / General definition,Not reported,3.5,0.5,3.5,0.9,"Elevation uncertainty includes 20% of the reported elevation, since elevation measurement technique is not stated. Another elevation reported in the paper from a previous paper is 2-3 m, but we chose the more recent value.",Equal to,MIS 5,"Modelled age using parabolic kinetic modelling of D/L ratios, with calibration from Holocene samples.",123.00,,17.0,Procedure as per Miller et al (1987).,liquid chromatography,,,,,no,N/A,,,,,,,,,,,0.388,,,,,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Gowan,Evan Gowan,2020-02-24 23:59:11
