WALIS reference ID,Reference,Full reference,Journal,Year,doi,Link,Nation,Language,Timeframe,Record created by,Record updated by,Last Update,Type of paper
1162,"Chutcharavan and Dutton, 2020","Chutcharavan, P.M., Dutton, A., 2020. A Global Compilation of U-series Dated Fossil Coral Sea-level Indicators for the Last Interglacial Period (MIS 5e). Earth System Science Data Discussions 2020, 1–41. https://doi.org/10.5194/essd-2020-381",Earth System Science Data Discussions,2020,https://doi.org/10.5194/essd-2020-381,,,EN,Pleistocene,Alessio Rovere,WALIS Admin,2021-06-14 11:53:05,
270,"Hamelin et al., 1991","Hamelin, B., E. Bard, A. Zindler, and R. G. Fairbanks, 1991, 234U/238U mass spectrometry of corals: How accurate is the UTh age of the last interglacial period?: Earth and Planetary Science Letters, v. 106, p. 169-180.",Earth and Planetary Science Letters,1991,https://doi.org/10.1016/0012-821X(91)90070-X,,999,EN,"Holocene,Pleistocene,MIS 5",Deirdre Ryan,Ann-Kathrin Petersen,2019-05-31 09:06:21,Age techniques
987,"Kennedy et al., 2007","Kennedy, D. M., K. L. Tannock, M. J. Crozier, and U. Rieser, 2007, Boulders of MIS 5 age deposited by a tsunami on the coast of Otago, New Zealand: Sedimentary Geology, v. 200 (3-4), p. 222-231.",Sedimentary Geology,2007,https://doi.org/10.1016/j.sedgeo.2007.01.005,,158,EN,"Pleistocene,MIS 5",Deirdre Ryan,Ann-Kathrin Petersen,2019-07-27 07:50:50,
1852,"Lorscheid and Rovere, 2019","Lorscheid, T. and Rovere, A., 2019. The indicative meaning calculator–quantification of paleo sea-level relationships by using global wave and tide datasets. Open Geospatial Data, Software and Standards, 4(1), pp.1-8.","Open Geospatial Data, Software and Standards",2019,"https://doi.org/10.1186/s40965-019-0069-8

",,,EN,,WALIS Admin,,2020-11-19 16:40:48,
345,"Muhs et al., 2012","Muhs, D. R., J. M. Pandolfi, K. R. Simmons, and R. R. Schumann, 2012, Sea-level history of past interglacial periods from uranium-series dating of corals, Curacao, Leeward Antilles islands: Quaternary Research, v. 78 (2), p. 157-169.",Quaternary Research,2012,https://doi.org/10.1016/j.yqres.2012.05.008,,8,EN,"Pleistocene,MIS 5,MIS 7,MIS 11",Deirdre Ryan,Ann-Kathrin Petersen,2019-06-28 04:51:28,
1112,Rees-Jones et al 2000,"Rees-Jones, J., Rink, W.J., Norris, R.J., Litchfield, N.J. (2000). Optical luminescence dating of uplifted marine terraces along the Akatore Fault near Dunedin, South Island, New Zealand. New Zealand Journal of Geology & Geophysics, 43, 419-424",New Zealand Journal of Geology & Geophysics,2000,,,158,EN,Pleistocene,Deirdre Ryan,,2019-10-02 06:14:07,Sea level indicator description
1068,"Rovere et al., 2016","Rovere, A., Raymo, M.E., Vacchi, M., Lorscheid, T., Stocchi, P., Gomez-Pujol, L., Harris, D.L., Casella, E., O'Leary, M.J. and Hearty, P.J., 2016. The analysis of Last Interglacial (MIS 5e) relative sea-level indicators: Reconstructing sea-level in a warmer world. Earth-Science Reviews, 159, pp.404-427.",Earth Science Reviews,2016,https://doi.org/10.1016/j.earscirev.2016.06.006,,999,EN,"Pleistocene,MIS 5",Alessio Rovere,Ann-Kathrin Petersen,2019-07-28 04:15:46,
1912,"Rubio-Sandoval et al., 2021","Rubio-Sandoval, K., Rovere, A., Cerrone, C., Stocchi, P., Lorscheid, T., Felis, T., Petersen, A.-K., and Ryan, D. D.: A review of Last Interglacial sea-level proxies in the Western Atlantic and Southwestern Caribbean, from Brazil to Honduras, Earth Syst. Sci. Data Discuss. [preprint], https://doi.org/10.5194/essd-2021-150, in review, 2021.",Earth System Science Data Discussions,2021,https://doi.org/10.5194/essd-2021-150,,,EN,Pleistocene,WALIS Admin,,2021-06-14 12:00:46,Review
1376,"Schellmann et al., 2004a","SCHELLMANN, G.; RADTKE, U.; SCHEFFERS, A.; WHELAN, F., and KELLETAT, D., 2004. ESR reef terraces on Curacao (Netherlands Antilles) with estimates of younger Pleistocene sea level elevations. Coastal Research, 20(4), 947-957. ",Journal of Coastal Research,2004,,,,EN,"Pleistocene,MIS 5,MIS 7",Karla Zurisadai Rubio Sandoval ,,2020-05-06 16:19:58,RSL indicators source
1400,"Schubert et al., 1978","Schubert, C., & Szabo, B.J. (1978). Uranium-series ages of pleistocene marine deposits on the islands of Curacoa and La Blanquilla, Caribbean Sea. Geologie en Mijnbouw, 57(2), 325-332. ",Geologie en Mijnbouw,1978,,,8,EN,"Pleistocene,MIS 5",Karla Zurisadai Rubio Sandoval ,,2020-05-16 18:53:56,Age techniques
1712,"Smith and Small, 1999","Smith, D.A., Small, H.J., 1999. The CARIB97 high-resolution geoid height model for the Caribbean Sea. Journal of Geodesy 73, 1–9.",Journal of Geodesy,1999,,,,EN,,WALIS Admin,,2020-12-01 10:04:24,
