WALIS SLdatum ID,Datum name,Datum description,Datum uncertainty,Reference(s),Record created by,Record updated by,Last Update,General type
19,Australian Height Datum (AHD),"Definition from Geoscience Australia: ""In 1971 the mean sea level for 1966–1968 was assigned the value of 0.000m on the Australian Height Datum at thirty tide gauges around the coast of the Australian continent. The resulting datum surface, with minor modifications in two metropolitan areas, has been termed the Australian Height Datum (AHD) and was adopted by the National Mapping Council as the datum to which all vertical control for mapping (and other surveying functions) is to be referred.""",N/A,,Alessio Rovere,,2020-04-07 14:46:09,Ordnance or geodetic datum
25,Brazilian Córrego Alegre National datum,Local datum for Brazil,"Not available, possibly good accuracy as it is a nationally recognized datum","Suguio et al., 2011",WALIS Admin,WALIS Admin,2020-10-24 13:05:59,Ordnance or geodetic datum
28,CARIB97,"From the original source: ""A 2×2 arc-minute resolution geoid model, CARIB97, has been computed covering the Caribbean Sea. The geoid undulations refer to the GRS-80 ellipsoid, centered at the ITRF94 (1996.0) origin. ""","From the original source: ""Comparison of CARIB97 geoid heights to 31 GPS/tidal (ITRF94/local) benchmarks shows an average offset (h–H–N) of 51 cm, with an Root Mean Square (RMS) of 62 cm about the average.""","Smith and Small, 1999",WALIS Admin,WALIS Admin,2020-12-01 10:06:45,Ordnance or geodetic datum
7,DNN (Danish ordnance datum),DNN (Dansk Normaal  Nul) is the O.D. in Denmark. It is about equal to second-half 20th cy MSL (mean half-tide) as observed in 10 tide gauges along the Danish coast.,"Entry is awaiting an update to a geodetic standard paper, but DNN is up to standard: 0.05. Denmark covers the GIA hinge zone between rebound (the northeast) and forebulge collapse (the southwest), and cm-scale redefinitions may have been in play between 1980ies and 2000s surveys. Jakobsen and Toxvig Madsen (1993:43) provide maps (notably Fig. 4; citing Remmer, 1991 - unpublished).","Jakobsen and Toxvig Madsen 1993
 Konradi et al., 2005",Kim Cohen,Kim Cohen,2020-07-26 17:30:02,Ordnance or geodetic datum
27,EGM 2008,"From Pavlis et al., 2012: ""EGM2008 is a spherical harmonic model of the Earth's gravitational potential""","From Pavlis et al., 2012: ""Over areas covered with high quality gravity data, the discrepancies between EGM2008 geoid undulations and independent GPS/Leveling values are on the order of ±5 to ±10 cm.""","Pavlis et al., 2012",WALIS Admin,WALIS Admin,2020-11-20 16:12:44,Ordnance or geodetic datum
10,EGM2008 REDNAR,Official Spanish Geoid.,Best approximation of MSL in Spain,"Sobrino et al., 2009",Alessio Rovere,Alessio Rovere,2020-04-19 14:32:24,Ordnance or geodetic datum
18,Height of Living Corals (HLC),"Height of living coral microatolls, usually located between mean low water and mean sea level",Depending on the variability recorded within a site,,Alessio Rovere,,2020-04-07 14:35:52,Biological datum
3,High Tide Level,"Described by Kennedy et al (2007) as the swash limit and the extent of fixed biological indicators, such as molluscs, having a restricted vertical range.","Per Rees-Jones et al (2000), accurate to +/- 2m up to 15 m a.h.s.l and +/-5-10m above 15m a.h.s.l.
Uncertainty will be dependent upon measurement method.","Kennedy et al., 2007
 Rees-Jones et al 2000",Deirdre Ryan,Deirdre Ryan,2020-01-15 05:19:39,Tidal datum
24,ILSD,Israel Land Survey Datum,0.1m,"Dean et al., 2019",Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-09-07 11:12:57,Ordnance or geodetic datum
8,ITALGEO90,"From the ISG website: ""ITALGEO90 is a gravimetric quasi-geoid covering the whole Italian territory. With respect to the previous ITALGEO83 estimate, the gravity database is the same but the Residual Terrain Correction (RTC) has been introduced to account for the high frequencies of the gravimetric signal. The remove-restore procedure is based on the IFE88E2 global gravity model (tailored over Europe) up to degree and order 360 and on the following two digital terrain models: the national DTM of mean heigths with 7""x10"" resolution and the global DTM TUG87 with 5'x5' resolution. The latter has been used both to complete the missing data of the former (mainly for the bathymetry) and to compute the mean reference DTM which is necessary for the RTC computation. The two DTMs are not completely consistent, showing some systematic differences. A collocation procedure has been applied for each of the 11 overlapped zones, after locally adapting some parameters of the covariance function. The precision is of the order of meter in absolute and about 5 ppm in relative.""",The precision is of the order of meter in absolute and about 5 ppm in relative.,"Benciolini et al., 1991",Alessio Rovere,Alessio Rovere,2020-04-19 14:25:33,Ordnance or geodetic datum
