WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Were U-Series data recalculated?,Type of spectrometry,Are RSL estimates available for this record?,Are data on tectonics available?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Accepted in other study?,Reason for rejection in other studies,Other study ID,Screening,Location,Site,Additional site information,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Interpreted elevation relative to mllw/mlws (m),Elevation comments,Tectonic category,Published uplift rate (m/ky),Published uncertainty in uplift rate (m/ky),Interpreted uplift rate (m/ky),Interpreted uplift rate uncertainty (m/ky),"Comments (uplift), including sources of uplift rates",Terrace ID,Facies description,Reported as in situ?,Reported as in growth position?,Taxa information (as reported),Family,Genus,Species,Original palaeodepth interpretation,Ecological metadata,Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),Paleo water depth comments,Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,Other screening techniques applied,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),[230Th/238U]ACT,[230Th/238U]ACT uncertainty (±2σ),[234U/238U]ACT,[234U/238U]ACT uncertainty (±2σ),Reported age (ka),"Reported ageuncertainty (ka, ±2σ)",Reported delta 234U initial (‰),Reported delta 234U (‰) uncertainty (±2σ),Comments on age determination,Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Recalculated Conventional Age (ka),Recalculated Conventional Age uncert. (±2σ),Recalculated delta 234Ui (‰),Recalculated delta 234Ui uncertainty (±2σ),Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2σ),Recalculated delta 234Ui uncert. (±2σ) w/ decay constant uncertainties,Comments (age and delta234i),Record created by,Record updated by,Last Update
2365,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-005,HA91-005-001,J-2B #1,1991-01-01 00:00:00,No,Sample considered heterogeneous because of large difference in ages (multiple kyr) between different subsamples of the same coral,No,Sample considered heterogeneous because of large difference in ages (multiple kyr) between different subsamples of the same coral,"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,used the same elevation as ACR5 (both from the lower terrace) BUT Lower terrace on Curacao given elevation of 10 m by Schubert and Szabo 1978 (Geologie en Mijnbouw 57: 325-332); In Pandolfi and Jackson 2001 (Ecological Monographs 71: 49-67) Lower terrace is described as being 2-15 m above present mean sea level; lower terrace (same as ARC 5) but Dutton and Lambeck 2012. give elevation of ARC 5 as 52 m (no explanation),Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,No,No,Not Reported,Not Reported,3.6,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.686,0.0045,0.7674,0.0056,1.1186,0.007,122.1,1.6,167.7,10.7,,,,,,,,,0.7653,0.005584927,1.113494291,0.006968049,123.05,2.27,160.5880141,7.427038608,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2366,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-005,HA91-005-002,J-2B #2,1991-01-01 00:00:00,No,Sample considered heterogeneous because of large difference in ages (multiple kyr) between different subsamples of the same coral,No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,Lower terrace on Curacao given elevation of 10 m by Schubert and Szabo 1978 (Geologie en Mijnbouw 57: 325-332); In Pandolfi and Jackson 2001 (Ecological Monographs 71: 49-67) Lower terrace is described as being 2-15 m above present mean sea level; lower terrace (same as ARC 5) but Dutton and Lambeck 2012. give elevation of ARC 5 as 52 m (no explanation),Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,No,No,Not Reported,Not Reported,3.52,0.01,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7048,0.0035,0.7875,0.0035,1.1173,0.0054,128.4,1.4,168.8,8.4,,,,,,,,,0.785380314,0.003490579,1.112200225,0.005375352,129.3447372,1.714110418,161.6015449,5.619523167,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2373,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-005,HA91-005-003,J-2A #2,1991-01-01 00:00:00,No,Sample considered heterogeneous because of large difference in ages (multiple kyr) between different subsamples of the same coral,No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,Lower terrace on Curacao given elevation of 10 m by Schubert and Szabo 1978 (Geologie en Mijnbouw 57: 325-332); In Pandolfi and Jackson 2001 (Ecological Monographs 71: 49-67) Lower terrace is described as being 2-15 m above present mean sea level; lower terrace (same as ARC 5) but Dutton and Lambeck 2012. give elevation of ARC 5 as 52 m (no explanation),Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,No,No,Not Reported,Not Reported,3.54,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7143,0.0043,0.8085,0.004,1.1319,0.0068,130.8,1.8,192.3,11.4,,,,,,,,,0.806323789,0.003989233,1.126733585,0.006768962,132.1523675,2.115574913,183.9885466,7.06938164,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2374,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-005,HA91-005-004,J-2A #1,1991-01-01 00:00:00,No,Sample considered heterogeneous because of large difference in ages (multiple kyr) between different subsamples of the same coral,No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,Lower terrace on Curacao given elevation of 10 m by Schubert and Szabo 1978 (Geologie en Mijnbouw 57: 325-332); In Pandolfi and Jackson 2001 (Ecological Monographs 71: 49-67) Lower terrace is described as being 2-15 m above present mean sea level; lower terrace (same as ARC 5) but Dutton and Lambeck 2012. give elevation of ARC 5 as 52 m (no explanation),Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,No,No,Not Reported,Not Reported,3.5,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7169,0.0044,0.8033,0.0036,1.1207,0.0073,132.4,1.8,175.7,11.5,,,,,,,,,0.801137785,0.00359031,1.115584706,0.00726668,133.4012234,2.216795642,168.3929107,7.31009298,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2367,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-006,HA91-006-001,ACR5-U #3,1991-01-01 00:00:00,No,Considered altered because d234Ui values from multiple subsamples much higher than seawater (~170-190 ?),No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,"elevation from Dutton and Lambeck 2012. no uncertainty quoted, assigned ± 1 m",Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,Yes,No,Not Reported,Not Reported,3.98,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7062,0.005,0.8040087,0.005,1.1385,0.0056,,,199.2,9.1,238U concentration is average of ACR5 #1 and ACR5 #2; 230Th/238U activitiy ratio calculated using reported 230Th/234U act ratios for whole rock and individual 234U/238U ratios for each sample; Age not reported,,,,,,,,0.801844578,0.004986542,1.13330346,0.00557444,129.1624591,2.00996266,191.9023005,6.761220901,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2368,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-006,HA91-006-002,ACR5-U #1,1991-01-01 00:00:00,No,Considered altered because d234Ui values from multiple subsamples much higher than seawater (~170-190 ?),No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,"elevation from Dutton and Lambeck 2012. no uncertainty quoted, assigned ± 1 m",Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,Yes,No,Not Reported,Not Reported,3.98,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7062,0.005,0.80005398,0.005,1.1329,0.0053,,,191.2,8.6,238U concentration is average of ACR5 #1 and ACR5 #2; 230Th/238U activitiy ratio calculated using reported 230Th/234U act ratios for whole rock and individual 234U/238U ratios for each sample; Age not reported,,,,,,,,0.797900503,0.004986542,1.127729021,0.005275809,129.3317231,1.979226613,183.9642061,6.613466662,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2369,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-006,HA91-006-003,ACR5-U #4,1991-01-01 00:00:00,No,Considered altered because d234Ui values from multiple subsamples much higher than seawater (~170-190 ?),No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,"elevation from Dutton and Lambeck 2012. no uncertainty quoted, assigned ± 1 m",Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,Yes,No,Not Reported,Not Reported,3.98,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7062,0.005,0.79864158,0.005,1.1309,0.011,,,188.4,16.9,238U concentration is average of ACR5 #1 and ACR5 #2; 230Th/238U activitiy ratio calculated using reported 230Th/234U act ratios for whole rock and individual 234U/238U ratios for each sample; Age not reported,,,,,,,,0.796491904,0.004986542,1.12573815,0.010949792,129.3927936,3.075063934,181.1276401,10.25089979,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2370,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-006,HA91-006-004,ACR5-U #2,1991-01-01 00:00:00,No,Considered altered because d234Ui values from multiple subsamples much higher than seawater (~170-190 ?),No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,"elevation from Dutton and Lambeck 2012. no uncertainty quoted, assigned ± 1 m",Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,Yes,No,Not Reported,Not Reported,3.98,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7062,0.005,0.79708794,0.005,1.1287,0.0055,,,185.3,8.9,238U concentration is average of ACR5 #1 and ACR5 #2; 230Th/238U activitiy ratio calculated using reported 230Th/234U act ratios for whole rock and individual 234U/238U ratios for each sample; Age not reported,,,,,,,,0.794942446,0.004986542,1.123548191,0.005474896,129.4603526,2.024274572,178.0064735,6.729967248,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2371,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-006,HA91-006-005,ACR5 #2,1991-01-01 00:00:00,No,Considered altered because d234Ui values from multiple subsamples much higher than seawater (~170-190 ?),No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,"elevation from Dutton and Lambeck 2012. no uncertainty quoted, assigned ± 1 m",Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,No,No,Not Reported,Not Reported,4.02,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7035,0.004,0.8013,0.0039,1.1391,0.0066,127.3,1.5,199.5,10.3,,,,,,,,,0.799143169,0.003889503,1.133900722,0.006569875,128.214779,1.944991494,192.2475588,6.544710755,,,,Peter Chutcharavan,,2021-04-20 00:00:00
2372,1,Coral,,Yes,Mass Spectrometer,No,Yes,"Hamelin et al., 1991
 Chutcharavan and Dutton, 2020",,HA91-006,HA91-006-006,ACR5 #1,1991-01-01 00:00:00,No,Considered altered because d234Ui values from multiple subsamples much higher than seawater (~170-190 ?),No,Multiple analyses of the same coral; this subsample outside acceptable range for initial uranium isotopic composition (delta 234Ui = 145 +7/-5 ?),"Chutcharavan and Dutton, 2020",Flexible protocol,Curaçao,Rif Baai,"south coast, first terrace (LIG)",12.36712,-69.116874,N/A,N/A,Yes,"Could not located locality ""Rif Baai"", so used Boca Cortalein locality as placeholder",Mean Sea Level / General definition,Not reported,Not Reported,Not Reported,,,,"elevation from Dutton and Lambeck 2012. no uncertainty quoted, assigned ± 1 m",Uplifting,,Not Reported,0.039837398,0.008807866,"recalculated rate using the max. elevation of the inner edge of the Hato unit (~12.4 m; Muhs et al., 2012 [Quat. Res.])","south coast, first terrace (LIG)",Not Reported,Not Reported,Not Reported,Acropora palmata,Acroporidae,Acropora,palmata,Not Reported,,,,,not enough information to determine if in primary growth position,No,No,TIMS,D1,,G,G,,XRD,<1%,1,,,No,No,Not Reported,Not Reported,3.94,0.02,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,0.7079,0.0031,0.8073,0.0036,1.1404,0.0046,128.7,1.2,202.2,7.3,,,,,,,,,0.805127019,0.00359031,1.135194788,0.004579004,129.6869331,1.547761713,194.91356,5.219635871,,,,Peter Chutcharavan,,2021-04-20 00:00:00
