WALIS AAR ID,Is this datapoint public?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Laboratory name,Sample Type,Taxonomy,Sample position,Whole-Rock?,Grain Size (μm),Carbonate (%),Fraction (μm),Notes and comments on sample quality,Collection Context,Depth of burial (m),Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reported age (ka),Reported age uncertainty (±2σ) (ka),Current Annual Mean Temperature (°C),Preparation procedure,Method of chromatography,Stationary phase of the column,Number of replicates (samples),Number of sample replicates (injections),Ratio type,Pyrolysis experiment available,Level of uncertainty,Aspartic,Aspartic uncertainty,Glutamic,Glutamic uncertainty,Serine,Serine uncertainty,Alanine,Alanine uncertainty,Valine,Valine uncertainty,*A/I,*A/I uncertainty,Leucine,Leucine uncertainty,Notes/Comments,Independent age constraints available?,Calibration data available?,Are free AAR ratios available?,Level of uncertainty free AAR,Aspartic (free AAR),Aspartic uncertainty (free AAR),Glutamic (free AAR),Glutamic uncertainty (free AAR),Serine (free AAR),Serine uncertainty (free AAR),Alanine (free AAR),Alanine uncertainty (free AAR),Valine (free AAR),Valine uncertainty (free AAR),*A/I (free AAR),*A/I uncertainty (free AAR),Leucine (free AAR),Leucine uncertainty (free AAR),Notes/Comments free AAR,Calibration method,Amino Acid age equation,Calibration laboratory,Calibration laboratory ID,Calibration reference,Calibration D/L value,Calibration D/L value uncertainty (±1σ),Calibration age (ka),Calibration age (ka) uncertainty (±1σ),Independent age choice,Independent age method,Independent age laboratory,Independent age laboratory ID,Independent age result,Independent age reference,U-Series age constraint,ESR age constraint,Luminescence age constraint,Stratigraphic age constraint,Record created by,Record updated by,Last Update
2,1,"Blakemore et al., 2014
 Ryan et al., 2020",,BL14-001,BL14-001-001,UWGA9852-10057-10059-10060,,University of Wollongong AAR Laboratory,Marine gastropod opercula,Turbo undulatus,Operculum fragment,No,,,,Opercula were fragmented with slight pitting on outer surface.,Paleo beach deposit formed in a rocky high-energy environment.,Surface sample,Yes,,,,-38.057514,140.674271,,, ,1.50,0.50,1.5,0.5,,Equal to,MIS 5c,MIS 5c,102.00,16.00,14.0,"Kaufman and Manley (1998), Murray-Wallace et al., (2010).",RP-HPLC,,4,,,No,N/A,0.650,0.075,0.443,0.069,,,,,0.353,0.052,,,0.487,0.082,,Yes,Yes,No,N/A,,,,,,,,,,,,,,,,Modern Turbo opercula AAR was calibrated by radiocarbon. Turbo opercula from the conglomerate were calibrated to opercula of known MIS 5e age. Data for the latter calibration is provided,Apparent parabolic kinetics,University of Wollongong,5387A-E,,0.443,0.069,,,"General_definition,Stratigraphic",OSL analysis of overlying aeolianite constraint deposition of conglomerate to pre-MIS 3,University of Wollongong,UOW-848,53 +/- 4,"Blakemore et al., 2014",,,,Port MacDonnell Beach conglomerate,Deirdre Ryan,Alessio Rovere,2020-01-24 12:29:47
579,1,In Preparation,,IP-001,IP-001-001,UWGA 9703-9705,,Amino Acid Racemisation Laboratory University of Wollongong,estuarine bivalve,Spisula trigonella,umbo/hinge region,No,,,,"Shell is well preserved exhibiting little to no mechanical abrasion, chemical degradation, or discoloration. The lack of breakage indicates little transport following deposition. ","Estuarine/sheltered marine deposit disturbed by excavation. In addition to S. trigonella species present include: Anadara trapezia, Anapella cycladea, Soletellina biradiata, Tellina deltoidalis, Nassarius burchardi, Coxiella striata. 

Some articulated samples of S. trigonella. ","1,5",Yes,,,,-35.494130,138.789225,No,Australian Height Datum (AHD),Dumpy level ,0.79,1.5,N/A,N/A,"Elevation was determined by dumpy level surveying from permanent survey mark. High uncertainty was assigned to this elevation due to excessive disturbance of the deposit from excavation. 

The modern Goolwa Channel reaches water depths in excess of 5 m. However, at depths in excess of 5 m, the water discharge rate is likely to be too high for S. trigonella habitat. ",Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,16,1,area,"Heating experiment published by Sloss et al (2004) Marine Geology 212, 45-59 is available but not discussed in this research. ",2-sigma,0.559,0.060,0.334,0.060,0.444,0.210,,,0.285,0.064,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 21:37:06
580,1,In Preparation,,IP-002,IP-002-001,UWGA 10106,,Amino Acid Racemisation Laboratory University of Wollongong,estuarine bivalve,Spisula trigonella,umbo/hinge region,No,,,,"Whole, disarticulated valves but chalky and frail found at surface consistent with water level. The lack of breakage indicates little transport following deposition. ","Estuarine/sheltered marine deposit disturbed by excavation. In addition to S. trigonella species present include: Tellina deltoidalis.

",.10,Yes,,,,-35.502161,138.779703,No,Australian Height Datum (AHD),Dumpy level ,0.46,1.5,N/A,N/A,"Elevation was determined by dumpy level surveying from permanent survey mark. High uncertainty was assigned to this elevation due to excessive disturbance of the deposit from excavation. 

The modern Goolwa Channel reaches water depths in excess of 5 m. However, at depths in excess of 5 m, the water discharge rate is likely to be too high for S. trigonella habitat. ",Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,6,1,area,"Heating experiment published by Sloss et al (2004) Marine Geology 212, 45-59 is available but not discussed in this research. ",2-sigma,0.595,0.044,0.449,0.082,0.375,0.160,,,0.443,0.090,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 21:36:37
581,1,In Preparation,,IP-003,IP-003-001,UWGA 9739,,Amino Acid Racemisation Laboratory University of Wollongong,marine bivalve,Paphies angusta,umbo/hinge region,No,,,,Whole disarticulated valves. Evidence of predation on two samples. Most of the shell color has been lost. ,"Dredge material comprised predominantly of species indicated a high energy marine environment. In addition to P. angusta: Austromactra rufescens, Plebidonax deltoides, Brachiodontes rostratus, Polinices conicus, Polinices incei, Bembicium nanum. Also identified, the low energy species Soletellina biradiata. 
",unknown,Yes,,,,-35.495525,138.798947,No,Australian Height Datum (AHD),Dumpy level ,N/A,N/A,N/A,N/A,Shell samples were retrieved from channel dredge material sourced from an unknown water depth.  The modern Goolwa Channel reaches water depths in excess of 5 m. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,3,1,area,,2-sigma,0.555,0.078,0.426,0.012,0.555,0.216,,,0.343,0.030,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 21:49:29
583,1,In Preparation,,IP-004,IP-004-001,UWGA 9739,,Amino Acid Racemisation Laboratory University of Wollongong,marine bivalve,Austromactra rufescens,umbo/hinge region,No,,,,Whole disarticulated valve. Minor mechanical abrasion,"Dredge material comprised predominantly of species indicated a high energy marine environment. In addition to Austromactra rufescens: Paphies angusta, Plebidonax deltoides, Brachiodontes rostratus, Polinices conicus, Polinices incei, Bembicium nanum. Also identified, the low energy species Soletellina biradiata. 
",unknown,Yes,,,,-35.495525,138.798947,No,Australian Height Datum (AHD),Dumpy level ,N/A,N/A,N/A,N/A,Shell samples were retrieved from channel dredge material sourced from an unknown water depth.  The modern Goolwa Channel reaches water depths in excess of 5 m. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,1,1,area,,N/A,0.510,0.000,0.362,0.000,0.532,0.000,,,0.285,0.000,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 22:22:22
582,1,In Preparation,,IP-005,IP-005-001,UWGA 9737,,Amino Acid Racemisation Laboratory University of Wollongong,estuarine bivalve,Spisula trigonella,umbo/hinge region,No,,,,All valves from articulated samples,"Dredge material comprised predominantly of Spisula trigonella. Additional species of both low-energy estuarine and mod-energy marine environments: Tellina deltoidalis, Irus griseus, Poliinices conicus",unknown,Yes,,,,-35.500117,138.788000,No,Australian Height Datum (AHD),Dumpy level ,N/A,N/A,N/A,N/A,Shell samples were retrieved from channel dredge material sourced from an unknown water depth.  The modern Goolwa Channel reaches water depths in excess of 5 m. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,7,1,area,,2-sigma,0.594,0.060,0.387,0.074,0.503,0.198,,,0.314,0.118,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 22:20:00
584,1,In Preparation,,IP-006,IP-006-001,"UWGA 9754, 10107",,Amino Acid Racemisation Laboratory University of Wollongong,estuarine bivalve,Spisula trigonella,umbo/hinge region,No,,,,Disarticulated valves with some mechanical breakage but may be due to force necessary during collection. Some valves partially cemented,"Estuarine/sheltered marine deposit exposed in railway cutting. In addition to S. trigonella species present include: Katelysia rhytiphora, Irus crenatus, Tellina deltoidalis, and Austromactra rufescens

",.3,Yes,,,,-35.501472,138.786833,No,Australian Height Datum (AHD),Dumpy level ,1.94,0.2,N/A,N/A,Elevation was determined by dumpy level surveying from permanent survey mark. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,10,1,area,"Heating experiment published by Sloss et al (2004) Marine Geology 212, 45-59 is available but not discussed in this research. ",2-sigma,0.594,0.070,0.393,0.074,0.448,0.230,,,0.346,0.100,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 22:45:23
585,1,In Preparation,,IP-007,IP-007-001,UWGA 9707,,Amino Acid Racemisation Laboratory University of Wollongong,estuarine bivalve,Spisula trigonella,umbo/hinge region,No,,,,Sample collection included articulated and disarticulated valves of S. trigonella,"Shell deposit disturbed by shallow cutting through calcrete. Also identified, Tellina deltoidalis, and one Turbo undulatus",.3,Yes,,,,-35.501028,138.782861,No,Australian Height Datum (AHD),Dumpy level ,1.82,0.2,N/A,N/A,Elevation was determined by dumpy level surveying from permanent survey mark. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,9,1,area,"Heating experiment published by Sloss et al (2004) Marine Geology 212, 45-59 is available but not discussed in this research. ",2-sigma,0.575,0.056,0.604,0.060,0.350,0.222,,,0.247,0.054,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 23:05:07
586,1,In Preparation,,IP-008,IP-008-001,UWGA 10160,,Amino Acid Racemisation Laboratory University of Wollongong,gastropod opercula,Turbo undulatus,opercula subsample,No,,,,This single T. undulatus was found cemented with calcrete at site,Shell deposit disturbed by shallow cutting through calcrete,.3,Yes,,,,-35.501028,138.782861,No,Australian Height Datum (AHD),Dumpy level ,1.82,0.2,N/A,N/A,Elevation was determined by dumpy level surveying from permanent survey mark. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,1,3,area,,2-sigma,0.607,0.014,0.431,0.002,0.395,0.002,,,0.365,0.018,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 23:29:45
587,1,In Preparation,,IP-009,IP-009-001,UWGA 10104,,Amino Acid Racemisation Laboratory University of Wollongong,estuarine bivalve,Spisula trigonella,umbo/hinge region,No,,,,Shells retrieved from highly indurated (cemented) sediment. Valves are disarticulated and discolored. Some with adhering cements. ,Shell deposit disturbed by shallow cutting through calcrete. Only S. trigonella identified with certainty. Second species may be Eumarica fumigata,.3,Yes,,,,-35.506857,138.777749,No,Australian Height Datum (AHD),Dumpy level ,1.17,0.2,N/A,N/A,Elevation was determined by dumpy level surveying from permanent survey mark. ,Equal to,MIS 5e,AAR values are equivalent to regional aminostratigraphy for MIS 5e,,,15.5,Sample preparation and hydrolysis followed methods established by Kaufman and Manly (1998) and Hearty et al. (2004). ,RP-HPLC,,3,1,area,"Heating experiment published by Sloss et al (2004) Marine Geology 212, 45-59 is available but not discussed in this research. ",2-sigma,0.626,0.030,0.431,0.076,0.421,0.084,,,0.391,0.104,,,,,individual shell D/L values archived at the NOAA paleo records database for AAR.,No,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2021-10-26 23:07:47
