WALIS Strat ID,Is this datapoint public?,Chronostratigraphy ID,Reference(s),Description for chronostratigraphic constraint,Unit thickness (m),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Upper Age (ka),Lower Age (ka),Notes on age determination,Is this an official stratigraphic designation?,Has duration estimated in years?,Duration (yrs),Duration uncertainty (yrs),Is a subzone of a parent Chronostratigraphy entry?,Parent record (WALIS Strat ID),Record created by,Record updated by,Last Update
61,1,Biozone P6,"Mildenhall, 1995
 Ryan et al., 2020","Biozone P6 (1 of 9 biozones identified) is a unit consisting of marine shelly gravel; shelly sand with occasional sand, mud, and gravel horizons with marine shell deposited in a nearshore marine or estuarine environment. Palynology indicates a warm, moist, humid environment, likely warmer and wetter than present. 

P6 is bounded by sediments deposited in cooler periglacial (below) glacial (above) environments. 
",,Equal to,MIS 5,Broadly MIS 5 at 71-128 ka,128.0,71.0,"To determine age Mildenhall (1995) referred to stratigraphic work by Stevens (1973 - not found in the course of this review) and the review paper by Pillans (1991), which placed MIS 5 at 125 to 70 ka. 
Begg et al (2004) in their summary of their earlier work (Begg et al 2002 - not made available in this review) referred to radiocarbon ages of shell from marginal marine deposits below the surface to assist in constraining age of deposits in the Lower Hutt Valley. They refer to Biozone P6 as the Wilford Shellbed and correlate it to an oxygen isotope sea level curve (Martinson et al., 1987), with MIS 5 between 128 to 71 ka. This age, as the more recent, is used here. ",No,,,,,,Deirdre Ryan,Deirdre Ryan,2020-05-13 13:23:10
19,1,Bromley Formation,"Brown et al, 1988
 Suggate, 1958
 Ryan et al., 2020","The Bromley Formation is found in the subsurface of coastal North Canterbury. It is composed of blue-grey gravel, sand, silt, clay, shelly clay, and peat with some brown gravel, and brown and yellow clay layers. The Formation has a maximum thickness of 30 m with a depth range of ~40-60 m below the ground surface. Depositional environment is described as beach, lagoonal, dune, and coastal swamp sediments associated with rising, high, and declining sea level.

It is bound by erosional surfaces to additional Quaternary stratigraphic units. It is variably overlain in upward succession by:
Riccarton Gravel (glacial outwash derived river deposits)
Windwhistle Formation (glacial outwash derived river deposits)
Burnham Formation (glacial outwash derived river deposits)
Springtown Formation (fluvial and coastal flood deposits)
Christchurch Formation (Holocene equivalent of the Bromely Formation)
It is variably underlain by a similar glacial and interglacial sequence as that described above:
Woodlands Formation, Linwood Gravel (Glacial outwash)
Heathcote Formation (Interglacial)
Hororata Formation, Burwood Gravel (Glacial outwash)
Shirley Formation (Interglaical)
Wainoni Gravel (Glacial outwash)
See Table 2 of Brown et al., 1988",variable,Equal to,MIS 5,5,,,Determined by stratigraphic succession,,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:04:29
15,1,Facies 1 One Tree Point,"Nichol, 2002
 Ryan et al., 2020","Nearshore facies as described in type section:
Moderately sorted, medium to coarse-grained sand comprising mostly quartz but with minor (<1%) amounts of heavy mineral (titanomagnetite) that are organised as mm-thick laminae in small-scale, trough and planar cross-beds. Locally, fossil imprints of Pectin shells and isolated gravel clasts are preserved near the base of the cliff section. Facies is of unknown thickness and in places is sub-lithified and dark brown in color, indicating B-horizon development in a podzolic soil profile. 

Correlates to ground penetrating radar Facies 1 mapped elsewhere on the point.",,Equal to,MIS 5,MIS 5,134.0,96.0,"Age determined from thermoluminescence sample, OTP 1, of overlying aeolian deposits at the type section. However, two additional TL samples were taken of this aeolian unit providing younger ages. The youngest TL age (OTP3) is 85 +/- 8 ka.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 16:58:39
14,1,Facies 2 One Tree Point,"Nichol, 2002
 Ryan et al., 2020","Lower beach facies as described at the type section:
A gradational contact defines the upward transition from Facies 1 to this horizontal tabular-bedded and laminated, fine to medium grained sand (moderate to well-sorted) of mixed quartz and mafic mineralogy. Laminae are highlighted by heavy mineral concentrations, generally <1 cm thick. Locally, burrow traces (e.g. Skolithos) are preserved, but at relatively low density. The deposit, interpreted as basal nearshore / lower beach facies, has an average thickness of 2.5 m and upper contact is defined by a continuous planar bed of heavy mineral sand that in type section follows a northward strike slope of about 1 degree and ranges in thickness from 5 to 50 mm. This uppermost heavy mineral bed is also exposed in cross-section at other locations along the One Tree Point cliff exposure, where it dips seaward at 3 to 6 degrees. This upper contact with Facies 3 is used as the RSL indicator.
Correlates to ground penetrating radar Facies II mapped elsewhere on the point.",2.5,Equal to,MIS 5,MIS 5,134.0,96.0,"Age determined from thermoluminescence sample, OTP 1, of overlying aeolian deposits at the type section. However, two additional TL samples were taken of this aeolian unit providing younger ages. The youngest TL age (OTP3) is 85 +/- 8 ka.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 16:58:25
13,1,Facies 3 One Tree Point,"Nichol, 2002
 Ryan et al., 2020","Foredune facies as described in type section: 
The uppermost facies, comprised of a 2 m thick deposit of generally massive, well-sorted quartz sand. Local physical structures include indistinct medium- to large-scale trouph cross-bedding and high-angle planar bedding lacking strong definition in outcrop. Facies is thickest beneath ridges and in intervening swales is overlain by 1-2 m of peat. 
The contact between Facies 3 and Facies 2 can be traced along 3.4 km of dip-section on northeast facing shoreline of One Tree Point. At many localities this facies contact is defined by the position of the uppermost heavy mineral bed - interpreted as the high tide swash deposit (RSL indicator). The elevation of this contact dips sea-ward from a maximum of +6 m to +3 m with variations of +2.5 m from the trend line. ",2 m,Equal to,MIS 5,MIS 5,134.0,96.0,"Age determined from thermoluminescence sample, OTP 1, of overlying aeolian deposits at the type section. However, two additional TL samples were taken of this aeolian unit providing younger ages. The youngest TL age (OTP3) is 85 +/- 8 ka.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 16:58:10
64,1,Hauriri Marine Terrace,"Dickson et al., 1974
 Fleming, 1953
 Pillans 2017
 Pillans and Kohn 1981
 Pillans, 1983
 Ryan et al., 2020","This terrace is within the Quaternary marine terrace sequence of the Whanganui Basin. The terrace consists of a basal wave-cut platform overlain by shallow marine sediments, grading upwards into non-marine sediments, which include dunesand, loess, lignite, tephra, laharic, and fluvial deposits. ",,Equal to,MIS 5a,5a,0.0,0.0,"Constraint to the terrace sequence was made possible by fission-track ages for the Rangitawa Tephra (~400 ka) found within the coverbeds of middle Pleistocene terraces, the youngest being the Ararata Terrace. AAR analysis and calibration of fossil wood samples indicated minimum ages of 190 and 110 ka for the Ngarino and Rapanui Terraces, respectively. The Rapanui strandline is correlated MIS 5e (~120 ka). The age of other terraces was determined by their physical relationship to these terraces. 

The Inaha Terrace is dated to ~100 ka.",,,,,,45,Deirdre Ryan,Deirdre Ryan,2020-06-19 21:45:28
41,1,Inaha Marine Terrace,"Dickson et al., 1974
 Fleming, 1953
 Pillans 2017
 Pillans and Kohn 1981
 Pillans, 1983
 Ryan et al., 2020","This terrace is within the Quaternary marine terrace sequence of the Whanganui Basin. The terrace consists of a basal wave-cut platform overlain by shallow marine sediments, grading upwards into non-marine sediments, which include dunesand, loess, lignite, tephra, laharic, and fluvial deposits. ",,Equal to,MIS 5c,5c,0.0,0.0,"Constraint to the terrace sequence was made possible by fission-track ages for the Rangitawa Tephra (~400 ka) found within the coverbeds of middle Pleistocene terraces, the youngest being the Ararata Terrace. AAR analysis and calibration of fossil wood samples indicated minimum ages of 190 and 110 ka for the Ngarino and Rapanui Terraces, respectively. The Rapanui strandline is correlated MIS 5e (~120 ka). The age of other terraces was determined by their physical relationship to these terraces. 

The Inaha Terrace is dated to ~100 ka.",,,,,,45,Deirdre Ryan,Deirdre Ryan,2020-06-19 21:45:55
62,1,Otaki Formation,"Fleming 1972
 Oliver, 1948
 Te Punga 1962
 Ryan et al., 2020","Marine gravels and sands, beach and dune sands, and lignites. There is no type section. The formation is subdivided into two informal units, Otaki beach (marine sands) and Otake dune sands. The formation is also referred to as the Otaki Sandstone. ",,Equal to,MIS 5e,"The marine units were designated the Otaki Terrace by Palmer et al 1988 on the basis that they could trace the terrace surface from Otaki near continuously to the Whanganui Sequence, where it was correlated to the Tokomaru Terrace.  The seaward margin of the terrace has at least two more narrow treads ""preserved a few km north of Otaki"", possibly MIS 5c and 5a.

The early Holocene highstand eroded a marine cliff into the seaward extent of the Otaki Formation. Sediments and wood fragments underlying the Holocene terrace surface and dune sands onlapping the marine cliff were analyzed with radiocarbon and OSL to provide an age to the younger terrace and support for the MIS 5 age of the Otaki Formation.",140.0,120.0,Palmer et al 1988 refer to Pillans 1985 (not available for this review) for MIS 5e extent. ,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-05-13 14:49:42
11,1,Port MacDonnell Beach conglomerate,"Blakemore et al., 2014
 Ryan et al., 2020",The conglomerate is dominated by flint cobbles and shell fragments within a well-cemented calcite matrix. The surface of the conglomerate is pitted and a 2 cm thick calcrete within the conglomerate indicates subaerial exposure. The conglomerate unconformably overlies the Oligo-Miocene Gambier Limestone and occurs beneath highly eroded aeolianite of late Pleistocene Bridgewater Formation. The aeolianite is constrained to MIS 3 via OSL analysis in this research.,less than 1.0 m,Equal to,MIS 5c,,118.0,86.0,"AAR calibrated numerical age
OSL analysis of overlying aeolianite.",No,,,,,,Deirdre Ryan,Deirdre Ryan,2020-02-03 05:35:14
40,1,Rapanui Marine Terrace,"Dickson et al., 1974
 Fleming, 1953
 Pillans 2017
 Pillans and Kohn 1981
 Pillans, 1983
 Ryan et al., 2020","This terrace is within the Quaternary marine terrace sequence of the Whanganui Basin. The terrace consists of a basal wave-cut platform overlain by shallow marine sediments, grading upwards into non-marine sediments, which include dunesand, loess, lignite, tephra, laharic, and fluvial deposits. ",,Equal to,MIS 5e,5e,,,"Constraint to the terrace sequence was made possible by fission-track ages for the Rangitawa Tephra (~400 ka) found within the coverbeds of middle Pleistocene terraces, the youngest being the Ararata Terrace. AAR analysis and calibration of fossil wood samples indicated minimum ages of 190 and 110 ka for the Ngarino and Rapanui Terraces, respectively. The Rapanui strandline is correlated MIS 5e (~120 ka). The age of other terraces was determined by their physical relationship to these terraces. 
",,,,,,45,Deirdre Ryan,Deirdre Ryan,2020-06-19 21:43:19
