WALIS LUM ID,Is this datapoint public?,Luminescence method,IGSN,Reference (s),Sample ID,Analysis ID,Reported ID,Laboratory name,Mineral type,Grain size,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Sample latitude (decimal degrees),Sample longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Comments on elevation,Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Aliquot size,Equivalent Dose measurement protocol,Treatment during measurement,Statistical model for burial dose,Machine type,Detection unit,Stimulation unit,Optical Filters used for Detection,Number of aliquots/ single grains run,Number of aliquots/ single grains used in sample,Uncertainty level,Equivalent dose (Gy),Equivalent dose uncertainty (Gy),Overdispersion value (%),Overdispersion value uncertainty (%),Depth of burial (m),Approach of dose rate dermination,Uncertainty levels,Uranium content (ppm),Uranium content uncertainty (ppm),Thorium content (ppm),Thorium content uncertainty (ppm),Potassium content (%),Potassium content uncertainty (%),Rubidium content (ppm),Rubidium content uncertainty (ppm),Alpha dose rate (Gy/ka),Alpha dose rate uncertainty (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate uncertainty (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate uncertainty (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate uncertainty (Gy/ka),Field water content (% of dry mass),Water content determination method,Water Content used in Final Age Calculation (% of dry mass),Water Content used in Final Age Calculation  uncertainty (% of dry mass),Alpha attenuation factor,Dose Rate conversion factors,Total dose rate (Gy/Ka),Total dose rate uncertainty (Gy/ka),Was fading correction applied?,Method of fading correction,g-value (% per decade),g-value (±1σ) (% per decade),Comments,Record created by,Record updated by,Last Update
504,1,OSL,,"Gale 1988
 Hoare 2009 JQS",HO09-001,001,SA-Morst-4,St Andrews luminescence laboratories,Quartz,Coarse grains (sand),,Yes,,,,52.957090,0.956835,No,OD (Ordnance Datum Newlyn),Theodolite and rod,2.5,0.029,N/A,1,"Elevation of the top of the section reported by Gale et al (1988) as 5.93 m OD +/- 0.029 m.  However, exact position of OSL samples in Hoare et al (2009) is unclear, so mid elevation of expect sample elevation given with large vertical error.",,N/A,,191.00,19.00,single-aliquot,regenerative-dose protocol,,,,,,,N/A,N/A,undefined,124.2,9.6,,,N/A,,undefined,0.33,0.01,1.22,0.04,0.35,0.01,,,,,,,,,,,15,Time-averaged moisture content; the laboratory water content of the Morston samples,4.100,,,,700,30,,,,,"In order to derive a time-averaged figure for water content, an estimated value was assigned to separate eustatic sea-level ranges derived from Thompson and Goldstein’s (2006) high resolution curve (Fig. 4(b)). The sediment grain-size and sorting characteristics of the Morston beach sands (Gale et al., 1988, fig. 4, sample 2) suggest a porosity of _45% and a saturated water content of _30% (Pryor, 1973; Urish and McKenna, 2004). A value of 30% was thus adopted for periods when sea level was above 0m OD. A figure of 20% was assumed for sea levels between 0m and _10 m, and 5% for periods when sea level was below _10 m. The time-averaged water content, based on these assigned values, is 14.6%; a 10% uncertainty means that almost the entire range of possible water content values is incorporated within this figure. Based on a time averaged value of 15_10%, the calculated ages of the Morston sediments are 180_19 ka (SA-Morst-1), 184_21 ka (SAMorst-2) and 191_19 ka (SA-Morst-4) (Table 1). These age estimates are 8–10% older than those determined using the laboratory water contents of SA-Morst-2 and SA-Morst-4, and 3% older than that determined for SA-Morst-1.",Natasha Barlow,Natasha Barlow,2021-06-21 14:45:28
222,1,IRSL,,"Thiel et al., 2015
 Tam and Yokoyama, 2021",TH15,001,055232,,Feldspar,Coarse grains (sand),,Yes,,,,39.970692,139.841625,Yes,N/A,"dGPS, hand level and tape",25,N/A,N/A,N/A,,Equal to,MIS 5,,128.00,14.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Tam,,2020-10-11 10:37:31
506,1,OSL,,"Gale 1988
 Hoare 2009 JQS",HO09-003,001,SA-Morst-1,St Andrews luminescence laboratories,Quartz,Coarse grains (sand),,Yes,,,,52.957090,0.956835,No,OD (Ordnance Datum Newlyn),Theodolite and rod,2.5,0.029,N/A,1,"Elevation of the top of the section reported by Gale et al (1988) as 5.93 m OD +/- 0.029 m.  However, exact position of OSL samples in Hoare et al (2009) is unclear, so mid elevation of expect sample elevation given with large vertical error.",,N/A,,180.00,19.00,single-aliquot,regenerative-dose protocol,,,,,,,N/A,N/A,undefined,143.0,12,,,N/A,,undefined,0.31,0.01,1.39,0.04,0.54,0.02,,,,,,,,,,,15,Time-averaged moisture content; the laboratory water content of the Morston samples,10.900,,,,820,30,,,,,"In order to derive a time-averaged figure for water content, an estimated value was assigned to separate eustatic sea-level ranges derived from Thompson and Goldstein’s (2006) high resolution curve (Fig. 4(b)). The sediment grain-size and sorting characteristics of the Morston beach sands (Gale et al., 1988, fig. 4, sample 2) suggest a porosity of _45% and a saturated water content of _30% (Pryor, 1973; Urish and McKenna, 2004). A value of 30% was thus adopted for periods when sea level was above 0m OD. A figure of 20% was assumed for sea levels between 0m and _10 m, and 5% for periods when sea level was below _10 m. The time-averaged water content, based on these assigned values, is 14.6%; a 10% uncertainty means that almost the entire range of possible water content values is incorporated within this figure. Based on a time averaged value of 15_10%, the calculated ages of the Morston sediments are 180_19 ka (SA-Morst-1), 184_21 ka (SAMorst-2) and 191_19 ka (SA-Morst-4) (Table 1). These age estimates are 8–10% older than those determined using the laboratory water contents of SA-Morst-2 and SA-Morst-4, and 3% older than that determined for SA-Morst-1.",Natasha Barlow,Natasha Barlow,2021-06-21 14:47:09
505,1,OSL,,"Gale 1988
 Hoare 2009 JQS",HO09-002,001,SA-Morst-2,St Andrews luminescence laboratories,Quartz,Coarse grains (sand),,Yes,,,,52.957090,0.956835,No,OD (Ordnance Datum Newlyn),Theodolite and rod,2.5,0.029,N/A,1,"Elevation of the top of the section reported by Gale et al (1988) as 5.93 m OD +/- 0.029 m.  However, exact position of OSL samples in Hoare et al (2009) is unclear, so mid elevation of expect sample elevation given with large vertical error.",,N/A,,184.00,21.00,single-aliquot,regenerative-dose protocol,,,,,,,N/A,N/A,undefined,137.5,13,,,N/A,,undefined,0.34,0.01,1.28,0.04,0.48,0.01,,,,,,,,,,,15,Time-averaged moisture content; the laboratory water content of the Morston samples,3.100,,,,820,30,,,,,"In order to derive a time-averaged figure for water content, an estimated value was assigned to separate eustatic sea-level ranges derived from Thompson and Goldstein’s (2006) high resolution curve (Fig. 4(b)). The sediment grain-size and sorting characteristics of the Morston beach sands (Gale et al., 1988, fig. 4, sample 2) suggest a porosity of _45% and a saturated water content of _30% (Pryor, 1973; Urish and McKenna, 2004). A value of 30% was thus adopted for periods when sea level was above 0m OD. A figure of 20% was assumed for sea levels between 0m and _10 m, and 5% for periods when sea level was below _10 m. The time-averaged water content, based on these assigned values, is 14.6%; a 10% uncertainty means that almost the entire range of possible water content values is incorporated within this figure. Based on a time averaged value of 15_10%, the calculated ages of the Morston sediments are 180_19 ka (SA-Morst-1), 184_21 ka (SAMorst-2) and 191_19 ka (SA-Morst-4) (Table 1). These age estimates are 8–10% older than those determined using the laboratory water contents of SA-Morst-2 and SA-Morst-4, and 3% older than that determined for SA-Morst-1.",Natasha Barlow,Natasha Barlow,2021-06-21 14:45:01
274,1,TL,,"Bateman and Catt, 1996",BA96-001,001,Shfd95017/1,Sheffield Luminescence Dating Laboratory,Quartz,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",TL date from Table 2 in paper,121.39,10.76,,,,,,,,,N/A,N/A,undefined,94.12,5.72,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:28:27
287,1,OSL,,"Wang et al., 2008
 Cooper and Green, 2020",SAMPLE2,001,Sample2,Wollongong,,,,Yes,,,,-33.006137,27.925226,Yes,Mean Sea Level / General definition,Not reported,6.5,1,N/A,N/A,,Equal to,N/A,,118.00,7.00,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Cooper,Andrew Cooper,2020-11-26 13:29:35
275,1,TL,,"Bateman and Catt, 1996",BA96-001,002,Shfd95017/2,Sheffield Luminescence Dating Laboratory,Quartz,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",TL date from Table 2 in paper,114.42,29.17,,,,,,,,,N/A,N/A,undefined,88.72,21.88,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:28:41
276,1,TL,,"Bateman and Catt, 1996",BA96-001,003,Shfd95017/3,Sheffield Luminescence Dating Laboratory,Quartz,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",TL date from Table 2 in paper,124.33,43.59,,,,,,,,,N/A,N/A,undefined,96.40,33.22,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:28:50
223,1,OSL,,"Hataya and Shirai, 2003
 Tam and Yokoyama, 2021",HT03,003-010,SR03-SR10,,Quartz,,,Yes,,,,36.046300,140.493900,Yes,Not reported,Not reported,29,1,N/A,N/A,Elevation from Borehole column,Equal to,MIS 5,Dates provided from 88 - 112 Ka,112.00,,,,,,,,,,N/A,N/A,undefined,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Tam,,2020-10-15 01:17:30
277,1,TL,,"Bateman and Catt, 1996",BA96-001,004,Shfd95017/4,Sheffield Luminescence Dating Laboratory,Quartz,,,Yes,,TA198685,,54.098457,-0.169500,No,OD (Ordnance Datum Newlyn),Not reported,5,N/A,4.8,N/A,"Elevation indicated as in the sand ~1 m above the 2-4 m OD beach (no elevation uncertainty is reported). OD is ~0.2 m below modern MSL at Newlyn (note, not Yorkshire).",Equal to,"MIS 5e, MIS 5d",TL date from Table 2 in paper,122.07,47.08,,,,,,,,,N/A,N/A,undefined,94.65,35.99,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha Barlow,Natasha Barlow,2021-03-17 14:29:01
