WALIS RSL ID,Is this datapoint public?,Site,Subsite,Nation,Region,Main reference,Additional references,Latitude (decimal degrees),Longitude (decimal degrees),Horizontal Positioning Technique,Is this a marine/terrestrial limiting record?,Type of RSL Indicator,Indicator description,Upper limit of modern analog (m),Lower limit of modern analog (m),Quantification of indicative meaning,Sea level datum,Elevation measurement technique,Do you want to insert upper and lower elevation limits?,Upper elevation of indicator (m),Lower elevation of indicator (m),Upper/Lower elevation measurement error (1-sigma) (m),RSL indicator elevation (m),RSL indicator elevation error (m),Notes on elevation and indicative range,Reference Water Level (m),Indicative Range (m),Paleo Relative Sea Level (m),Paleo Relative Sea Level Uncertainty (m),Is data on vertical land movements (independent from the sea level record) available?,Tectonic category,Comments on tectonic category,Published VLM rate (m/ky),Published VLM rate uncertainty (m/ky),Interpreted VLM rate (m/ky),Interpreted VLM rate (m/ky) uncertainty,Comments on VLM rates,Age attribution,U-Series constraint,U-series age IDs,AAR constraint,Amino Acid Racemization age IDs,ESR constraint,Electro Spin Resonance age IDs,Luminescence constraint,Luminescence age IDs,Stratigraphic constraint,Stratigraphic context/age IDs,Other age constraint,Other age constraints IDs,Quality of RSL data,Quality of age information,Quality notes,Record created by,Record updated by,Last Update
15,1,Port MacDonnell Beach,,Australia,South Australia,"Blakemore et al., 2014",N/A,-38.057514,140.674271,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"A flint conglomerate beach facies with interstratified shell formed in a rocky, high-energy environment, unconformably overlain by Bridgewater Formation aeolianite (beach barrier) unit of MIS 3 age. The conglomerate is dominated by flint cobbles and shell fragments within a well-cemented calcite matrix. Fossil shell within the conglomerate is dominated by the gastropods Turbo undulatus and Thias orbita.
The surface of the conglomerate is pitted and a 2 cm thick calcrete within the conglomerate indicates subaerial exposure.",2.39,-4.51,IMCalc,Mean Sea Level / General definition,Not reported,No,,,,1.5,0.75,"Not stated in paper. Inferred from stratigraphic drawing, Figure 2.",-1.06,6.9,2.56,3.53,Yes,Uplifting,,1.3,not stated,,,"Uplift rate determined at Mount Gambier, ~26 km to the north","Amino Acid Racemization
 Luminescence
 Chronostratigraphy",,,Equal to,BL14-001-001,,,Equal to,BL14-001-001,Equal to,Port MacDonnell Beach conglomerate,,,4,0,"Age can be constrained generally to the LIG, all information to reconstruct paleo RSL is available",Deirdre Ryan,Deirdre Ryan,2019-10-02 09:07:40
4263,1,Goolwa,Goolwa Wetlands,Australia,South Australia,In Preparation,N/A,-35.49413,138.789225,Handheld GPS,Sea Level Indicator,Estuary deposit,"Shelly deposit exposed by shallow (<3 m) excavation to produce artificial wetland. Fossil assemblage is comprised of estuarine bivalve and gastropod species, but predominantly of Spisula trigonella. S. trigonella is common to mud or sandy mud of estuaries or river mouths. 

Anadara trapezia, an indicator species of LIG in southern Australia, is present. Also identified: Anapella cycladea, Soletellina biradiata, Tellina deltoidalis, Nassarius burchardi, and Coxiella striata.",1.0,-5.0,Modern analog data,Australian Height Datum (AHD),Dumpy level ,No,,,,0.79,1.5,"Elevation was determined by dumpy level surveying from permanent survey mark 6627 17413. High uncertainty was assigned to this elevation due to excessive disturbance of the deposit from excavation. 

The modern Goolwa Channel reaches water depths in the range of +1m AHD to a depth in excess of 5 m. However, at depths greater than 5 m, the water discharge rate is likely to be too high for S. trigonella habitat or the low-energy environment indicated by the deposit. ",-2.0,6.0,2.79,3.35,No,,,,,,,,"Amino Acid Racemization
 Other dating",Equal to,,Equal to,IP-001-001,Equal to,,Equal to,,,,Equal to,Anadara trapezia,4,4,"Due to the excessive disturbance at the site from excavation, a higher uncertainty of the elevation measurement is required. 

The age is based upon aminostratigraphy and does not have a numerical value. However, age assignment to MIS 5e is certain. ",Deirdre Ryan,Deirdre Ryan,2021-10-27 18:45:05
4264,1,Goolwa,Oval Wetlands,Australia,South Australia,In Preparation,N/A,-35.501715,138.779703,Handheld GPS,Sea Level Indicator,Estuary deposit,"Shelly deposit exposed by shallow (<3 m) excavation to produce artificial wetland. Fossil assemblage is comprised predominantly of estuarine bivalve species Spisula trigonella, which is common to mud or sandy mud of estuaries or river mouths.

Also present is Tellina deltoidalis. ",1.0,-5.0,Modern analog data,Australian Height Datum (AHD),Dumpy level ,No,,,,0.46,1.5,"Elevation was determined by dumpy level surveying from permanent survey mark, 6626 3571. High uncertainty was assigned to this elevation due to excessive disturbance of the deposit from excavation. 

The modern Goolwa Channel reaches water depths in the range of +1m AHD to a depth in excess of 5 m. However, at depths greater than 5 m, the water discharge rate is likely to be too high for S. trigonella habitat or the low-energy environment indicated by the deposit. ",-2.0,6.0,2.46,3.35,No,,,,,,,,Amino Acid Racemization,,,Equal to,IP-002-001,,,,,,,,,4,4,"Due to the excessive disturbance at the site from excavation, a higher uncertainty of the elevation measurement is required. 

The age is based upon aminostratigraphy and does not have a numerical value. However, age assignment to MIS 5e is certain. ",Deirdre Ryan,Deirdre Ryan,2021-12-07 18:17:08
4265,1,Goolwa,Cadell Street,Australia,South Australia,In Preparation,N/A,-35.501028,138.782861,Handheld GPS,Sea Level Indicator,Estuary deposit,Shelly deposit exposed by shallow (<30 cm) excavation of flat-lying calcrete. Fossil assemblage composed predominantly of Spisula trigonella (mostly articulated) with some Tellina deltoidalis. One Turbo undulatus identified. ,1.0,-5.0,Modern analog data,Australian Height Datum (AHD),Dumpy level ,No,,,,1.82,0.2,"Elevation was determined by dumpy level surveying from permanent survey mark, 6626 2161. 

The modern Goolwa Channel reaches water depths in the range of +1m AHD to a depth in excess of 5 m. However, at depths greater than 5 m, the water discharge rate is likely to be too high for S. trigonella habitat or the low-energy environment indicated by the deposit. ",-2.0,6.0,3.82,3.0,No,,,,,,,,Amino Acid Racemization,Equal to,,Equal to,"IP-007-001
 IP-008-001",Equal to,,Equal to,,,,Equal to,,4,4,"The modern analogue for this site has a large range.

The age is based upon aminostratigraphy and does not have a numerical value. However, age assignment to MIS 5e is certain. ",Deirdre Ryan,Deirdre Ryan,2021-12-07 18:18:08
4266,1,Goolwa,Wakool Court,Australia,South Australia,In Preparation,N/A,-35.506857,138.777749,Handheld GPS,Sea Level Indicator,Estuary deposit,"Some shell scattered within well-consolidated sand on wetland edge.  This may be a channel margin deposit. 

Species identified is S. trigonella with possibly Eumarcia fumigata present. ",1.0,-5.0,Modern analog data,Australian Height Datum (AHD),Dumpy level ,No,,,,1.17,0.2,"Elevation to calcrete surface was determined by dumpy level surveying from permanent survey mark, 6626 2189. 

The modern Goolwa Channel reaches water depths in the range of +1m AHD to a depth in excess of 5 m. However, at depths greater than 5 m, the water discharge rate is likely to be too high for S. trigonella habitat or the low-energy environment indicated by the deposit. ",-2.0,6.0,3.17,3.0,No,,,,,,,,Amino Acid Racemization,Equal to,,Equal to,IP-009-001,Equal to,,Equal to,,,,Equal to,,4,4,"The modern analogue for this site has a large range.

The age is based upon aminostratigraphy and does not have a numerical value. However, age assignment to MIS 5e is certain. ",Deirdre Ryan,Deirdre Ryan,2021-12-07 19:47:45
4267,1,Goolwa,Captain Sturt Marina,Australia,South Australia,In Preparation,N/A,-35.500117,138.788,Handheld GPS,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"Shell retrieved from dredge to a depth of 2 m. 

Species predominantly S. trigonella, but also Tellina deltoidalis (sheltered environment), Irus griseus (moderately sheltered), and Polinices conicus (low to moderate wave energy). ",,,Modern analog data,Australian Height Datum (AHD),Not reported,No,,,,-1.25,0.5,"Marina was dredged to a depth of 2 m; however, water level is at ~ 0.75 m AHD. 

Depth of dredge was determined by discussion with marina operators; therefore, large uncertainty assigned. ",,,,,No,,,,,,,,Amino Acid Racemization,Equal to,,Equal to,IP-005-001,Equal to,,Equal to,,,,Equal to,,3,4,"Shell retrieved from dredge material at unknown depth. However, the dredge was not exceedingly deep.

The age is based upon aminostratigraphy and does not have a numerical value. However, age assignment to MIS 5e is certain. ",Deirdre Ryan,Deirdre Ryan,2021-12-07 19:59:19
4268,1,Goolwa,Birks Harbour,Australia,South Australia,In Preparation,N/A,-35.495525,138.798947,Handheld GPS,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"Shell retrieved from dredge to a depth of 5.5 m. 

Species composition is indicative of a high energy environment. Apart from Soletellina biradiata (sheltered intertidal zone), species present are: Paphies angusta (mod. exposed environment), Austromactra rufescens (ocean beach), Plebidonax deltoides (exposed environment), Brachiodontes rostratus (rocks upper/mid littoral), Polinices conicus (low-mod wave energy), Polinices incei (high energy), Bembicium nanum (open coast). Shell was abraded and broken. ",,,Modern analog data,Australian Height Datum (AHD),Not reported,No,,,,-5.5,1.0,"Marina was dredged to a depth of 5.5 m. 
Depth of dredge was determined by discussion with marina operators; therefore, large uncertainty assigned. ",,,,,No,,,,,,,,Amino Acid Racemization,Equal to,,Equal to,"IP-003-001
 IP-004-001",Equal to,,Equal to,,,,Equal to,,2,3,"Shell retrieved from dredge material at unknown depth. However, the dredge was not exceedingly deep.

The age is based upon aminostratigraphy and does not have a numerical value. MIS 5e age of examined shell highly likely. ",Deirdre Ryan,Deirdre Ryan,2021-12-07 20:10:22
43,1,Omaio,Otamaroa Terrace,New Zealand (Aotearoa),Bay of Plenty,Wilson et al 2007,"Iso et al 1982
 Yoshikawa et al, 1980
 Ryan et al., 2020",-37.7909,177.66962,National Map Grid Coordinates,Sea Level Indicator,Marine Terrace,"The terrace is located on the uplifting Raukumara Peninsula, North Island. Position of the section and sample on the terrace is not provided (inner, middle, outer margin). From surface: non-marine coverbed thickness is 4 m overlying ~3 m beach sediments upon an irregular basement/shore platform contact. The beach sediments are subdivided into 2 m of medium bedded sand with gravel lenses overlying 1 m of rounded greywacked gravel (up to 100 mm diameter but averaging 20 mm diameter) within a coarse sand matrix. Proximity of the sands to the shoreline angle is unstated and there is no direct evidence of a beach depositional environment; however, the well-sorted nature of the sand and rounded gravels support wave sorting during deposition and this is considered a direct sea-level indicator from a marine terrace.

Additional stratigraphic description for this site (stratigraphic column ID P10) is provided in the GNS Online Data Repository. ",2.57,-2.14,IMCalc,Mean Sea Level / General definition,Differential GPS,Yes,14.5,11.5,0.5,13.0,1.58,"Elevations were calibrated to control points, inc benchmarks, trig stations, and local sea level, but this information is not provided. However, uncertainties for each region are provided. 

Measurement uncertainty as reported in publication (0.5 m).

This field site is located on the uplifting Raukumara Peninsula. ",0.21,4.71,12.78,2.83,No,,,,,,,,Luminescence,,,,,,,Equal to,WI07-002-001,,,,,2,1,"Additonal stratigraphic descriptions are provided in the GNS Online Data Repository - only the five with age constraint are included in the database as they are the only sites for which height above present sea level could be determined due to Figure 2 in the publication. 
Authors were unsatistfied with the OSL results. For technical details, reader is referred to Rieser 2005 and 2006, which are Technical Reports 05/11 and 06/11 (respectively) from the Victoria University of Wellington. ",Deirdre Ryan,Deirdre Ryan,2021-03-08 12:00:31
45,1,Waihau Bay,Otamaroa Terrace,New Zealand (Aotearoa),Bay of Plenty,Wilson et al 2007,"Iso et al 1982
 Yoshikawa et al, 1980
 Ryan et al., 2020",-37.60042,177.97019,National Map Grid Coordinates,Sea Level Indicator,Marine Terrace,"The terrace is located on the uplifting Raukumara Peninsula, North Island. Position of the section and sample on the terrace is not provided (inner, middle, outer margin). From surface: non-marine coverbed thickness is 2.1 m overlying 1.2 m beach sediments upon basement/shore platform. The beach sediments are described as 0.2 m of light brown-grey medium sand over 1 m medium sand, light orange-brown with scattered mudstone clasts. Proximity of the sands to the shoreline angle is unstated and there is no direct evidence of a beach depositional environment; however, the well-sorted nature of the sand support wave sorting during deposition and this site is considered a direct sea-level indicator. 

Additional stratigraphic description for this site (column name P29) is provided in the GNS Online Data Repository.  ",2.57,-2.14,IMCalc,Mean Sea Level / General definition,Differential GPS,Yes,62.9,61.9,0.5,62.4,0.7,"Elevations were calibrated to control points, inc benchmarks, trig stations, and local sea level, but this information is not provided. However, uncertainties for each region are provided. 

Measurement uncertainty as defined in publication (0.5 m).

This field site is located on the uplifting Raukumara Peninsula. ",0.21,4.71,62.18,2.45,No,,,,,,,,Luminescence,,,,,,,Equal to,WI07-003-001,,,,,2,1,"Additonal stratigraphic descriptions are provided in the GNS Online Data Repository - only the five with age constraint are included in the database as they are the only sites for which height above present sea level could be determined due to Figure 2 in the publication. 
Authors were unsatistfied with the OSL results. For technical details, reader is referred to Rieser 2005 and 2006, which are Technical Reports 05/11 and 06/11 (respectively) from the Victoria University of Wellington. ",Deirdre Ryan,Deirdre Ryan,2021-02-18 14:28:53
46,1,Waihau Bay,Te Papa Terrace,New Zealand (Aotearoa),Bay of Plenty,Wilson et al 2007,"Iso et al 1982
 Yoshikawa et al, 1980
 Ryan et al., 2020",-37.59108,177.97748,National Map Grid Coordinates,Sea Level Indicator,Marine Terrace,"The terrace is located on the uplifting Raukumara Peninsula, North Island. Position of the section and sample on the terrace is not provided (inner, middle, outer margin). From surface: non-marine coverbed thickness is 2.9 m overlying 3.2 m beach sediments upon basement/shore platform. The beach sediments includes a paleosol (0.30 cm) developed in a medium sand over ~2.9 m of well-sorted medium sand with occasional silt and gravel lenses. Proximity of the sands to the shoreline angle is unstated and there is no direct evidence of a beach depositional environment; however, the well-sorted nature of the sand supports wave sorting during deposition and this site is considered a direct sea-level indicator. 

Additional stratigraphic description for this site (column name P31) is provided in the GNS Online Data Repository. ",2.57,-2.14,IMCalc,Mean Sea Level / General definition,Differential GPS,Yes,25.5,22.3,0.55,23.9,1.69,"Elevations were calibrated to control points, inc benchmarks, trig stations, and local sea level, but this information is not provided. However, uncertainties for each region are provided. 

Measurement uncertainty as provided in publication (0.55 m).

Field site is located on the uplifting Raukumara Peninsula. ",0.21,4.71,23.68,2.89,No,,,,,,,,Luminescence,,,,,,,Equal to,"WI07-001-001
 WI07-004-001",,,,,2,1,"Additonal stratigraphic descriptions are provided in the GNS Online Data Repository - only the five with age constraint are included in the database as they are the only sites for which height above present sea level could be determined due to Figure 2 in the publication. 
Authors were unsatistfied with the OSL results. For technical details, reader is referred to Rieser 2005 and 2006, which are Technical Reports 05/11 and 06/11 (respectively) from the Victoria University of Wellington. ",Deirdre Ryan,Deirdre Ryan,2021-02-18 14:30:37
