WALIS reference ID,Reference,Full reference,Journal,Year,doi,Link,Nation,Language,Timeframe,Record created by,Record updated by,Last Update,Type of paper
954,"Berryman, 1993","Berryman, K., 1993, Distribution, age, and deformation of the late Pleistocene marine terraces at Mahia Peninsula, Hikurangi subduction margin, New Zealand: Tectonics, v. 12 (6), p. 1365-1379.",Tectonics,1993,https://doi.org/10.1029/93TC01543,,158,EN,"Holocene,Pleistocene",Deirdre Ryan,Ann-Kathrin Petersen,2019-07-27 06:38:51,
995,"Blakemore et al., 2014","Blakemore, A.G., C.V. Murray-Wallace, T.J. Lachlan, 2014, First recorded evidence of subaqueously-deposited late Pleistocene interstadial (MIS 5c) coastal strata above present sea level in Australia. Marine Geology, 355, 377-383.",Marine Geology,2014,http://dx.doi.org/10.1016/j.margeo.2014.05.013,,12,EN,"Pleistocene,MIS 5",Deirdre Ryan,Ann-Kathrin Petersen,2019-07-27 08:03:45,
1117,"Brown et al, 1988","Brown, L.J., Wilson, D.D., Moar, N.T., Mildenhall, D.C. (1988). Stratigraphy of the late Quaternary deposits of the northern Canterbury Plains, New Zealand. New Zealand Journal of Geology and Geophysics, 31 (3), 305-335.",New Zealand Journal of Geology and Geophysics,1988,10.1080/00288306.1988.10417779,,158,EN,Pleistocene,Deirdre Ryan,,2019-11-21 04:06:24,RSL indicators source
951,"Bussell, 1992","Bussell, M.R., 1992, Late Pleistocene palynology of terrestrial cover beds at the type section of the Rapanui Terrace, Wanganui, New Zealand: New Zealand Journal of Geology and Geophysics, v. 22 (2), p. 77-90.",New Zealand Journal of Geology and Geophysics,1992,https://doi.org/10.1080/03036758.1992.10420807,,158,EN,"Pleistocene,MIS 5",Deirdre Ryan,Deirdre Ryan,2019-09-10 04:01:01,
1080,"Chappell, 1970","Chappell, J. (1970). Quaternary Geology fo the South-west Auckland Coastal Region. Transactions of the Royal Society of New Zealand, 8(10), pp. 133-153.",Transactions of the Royal Society of New Zealand,1970,,,158,EN,,Deirdre Ryan,,2019-08-19 03:37:38,
982,"Cooper and Kostro, 2006","Cooper, A. F., and F. Kostro, 2006, A tectonically uplifted marine shoreline deposit, Knights point, Westland, New Zealand: New Zealand Journal of Geology and Geophysics, v. 49(2), p. 203-216.",New Zealand Journal of Geology and Geophysics,2006,https://doi.org/10.1080/00288306.2006.9515160,,158,EN,"Pleistocene,MIS 5",Deirdre Ryan,Ann-Kathrin Petersen,2019-07-27 07:41:10,
1436,"Grant-Mackie and Scarlett, 1973","Grant-Mackie, J. and Scarlett, R.J. (1973). Last interglacial sequence, Oamaru. In: Guidebook for Excursions A7 and C7 Central and Southern Canterbury. DK INQUA Congress, Christchurch, New Zealand, pp. 87-99.","Guidebook for Excursions A7 and C7, Central and Southern Canterbury",1973,,,158,EN,,Deirdre Ryan,,2020-06-22 19:53:04,
2092,In Preparation,In Preparation. Place holder for 'Main Reference' field when manuscript preparation is in progress. ,,0,,,,EN,,Deirdre Ryan,,2021-10-22 18:37:50,
987,"Kennedy et al., 2007","Kennedy, D. M., K. L. Tannock, M. J. Crozier, and U. Rieser, 2007, Boulders of MIS 5 age deposited by a tsunami on the coast of Otago, New Zealand: Sedimentary Geology, v. 200 (3-4), p. 222-231.",Sedimentary Geology,2007,https://doi.org/10.1016/j.sedgeo.2007.01.005,,158,EN,"Pleistocene,MIS 5",Deirdre Ryan,Ann-Kathrin Petersen,2019-07-27 07:50:50,
977,"Kim and Sutherland, 2004","Kim, K. J., and R. Sutherland, 2004, Uplift rate and landscape development in southwest Fiordland, New Zealand, determined using 10Be and 26Al exposure dating of marine terraces: Geochimica et Cosmochimica Acta, v. 68 (10), p. 2313-2319.",Geochimica et Cosmochimica Acta,2004,https://doi.org/10.1016/j.gca.2003.11.005,,158,EN,"Holocene,Pleistocene,MIS 5",Deirdre Ryan,Ann-Kathrin Petersen,2019-07-27 07:27:50,
